sample13,,sample14,,sample15,,sample16,,sample17,,sample18,,sample19,,sample20,,sample21,,sample22,,sample23,,sample24,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.02843237296,900,0.02730981261,900,0.03033983149,900,0.02997489832,900,0.03764997423,900,0.03937637806,900,0.03972141817,900,0.03953977674,900,0.03856879473,900,0.03970652446,900,0.03968820348,900,0.03966965154,
899,0.03038124926,899,0.02679524012,899,0.02908945084,899,0.03040456958,899,0.03758592531,899,0.04055604339,899,0.04132465273,899,0.041371461,899,0.04085426778,899,0.0397076048,899,0.03710037097,899,0.03991644457,
898,0.03080665693,898,0.02854973823,898,0.03164919838,898,0.03223696724,898,0.04060194269,898,0.0404512696,898,0.04259045422,898,0.0410490334,898,0.03958125785,898,0.03925089538,898,0.04013594612,898,0.04150695726,
897,0.02929645777,897,0.02825315483,897,0.02912596241,897,0.03106561489,897,0.03896305338,897,0.04084673151,897,0.04080572352,897,0.04071829095,897,0.03942799196,897,0.03877516463,897,0.03940035775,897,0.04003454,
896,0.02868328243,896,0.0293055959,896,0.02848635241,896,0.03144162521,896,0.03947317973,896,0.04092952237,896,0.04071527719,896,0.04084886238,896,0.03930130601,896,0.03895928711,896,0.03991181776,896,0.04155198857,
895,0.02823354118,895,0.02921131253,895,0.02915012836,895,0.03170675412,895,0.03970731795,895,0.04012935981,895,0.04071877524,895,0.03986735269,895,0.03840901703,895,0.0379900001,895,0.0394740589,895,0.04048323631,
894,0.02772606723,894,0.02751895227,894,0.02891422249,894,0.03153795376,894,0.03960102424,894,0.04236559942,894,0.04000896588,894,0.03964866698,894,0.03939312696,894,0.03963559121,894,0.03825285658,894,0.04010079801,
893,0.02827252075,893,0.02819356881,893,0.03100052662,893,0.03256948665,893,0.03996627778,893,0.04208709672,893,0.04038226232,893,0.03986593336,893,0.03942235187,893,0.04001657292,893,0.03908225149,893,0.0398119688,
892,0.02911976166,892,0.02862974815,892,0.02931395918,892,0.03277944401,892,0.04018097743,892,0.04415736347,892,0.04242987186,892,0.04215757549,892,0.04015916958,892,0.0399441421,892,0.03962606192,892,0.0407686457,
891,0.0303738378,891,0.02776880935,891,0.02766117454,891,0.0323635377,891,0.04159338027,891,0.0419462584,891,0.04228395596,891,0.0411182642,891,0.03879093006,891,0.04013670981,891,0.03985415772,891,0.04059895873,
890,0.02770159207,890,0.02580156922,890,0.02734344453,890,0.03250369802,890,0.03801000491,890,0.04098624736,890,0.04061936587,890,0.04025745392,890,0.03827767447,890,0.0383618474,890,0.0375402011,890,0.03994785994,
889,0.02917975001,889,0.02710138075,889,0.02949455939,889,0.03384505212,889,0.04108924046,889,0.04230404645,889,0.04223582521,889,0.04162195325,889,0.04069301859,889,0.03978961334,889,0.04038004577,889,0.04110998288,
888,0.02857619524,888,0.02762497962,888,0.02880118415,888,0.03243273497,888,0.04135064408,888,0.04196017236,888,0.04181857407,888,0.04021118954,888,0.03974791244,888,0.03996346891,888,0.0402058512,888,0.03952664882,
887,0.02767618187,887,0.02760931104,887,0.02853862382,887,0.03156829253,887,0.04053475708,887,0.04292825609,887,0.04048283771,887,0.04109436274,887,0.03977843374,887,0.03842290118,887,0.03954831138,887,0.04023362696,
886,0.0265153423,886,0.02806694061,886,0.02761973813,886,0.03351997212,886,0.03987112641,886,0.04141975194,886,0.04065031931,886,0.03983370215,886,0.03872410953,886,0.03805574775,886,0.03885846958,886,0.03856670111,
885,0.02947084419,885,0.02835118212,885,0.0288044773,885,0.03390401974,885,0.04095848277,885,0.04234559461,885,0.0424150005,885,0.04106641933,885,0.03858048096,885,0.03884363547,885,0.0397445336,885,0.03957762942,
884,0.02803866379,884,0.02741358429,884,0.02782118879,884,0.03362490237,884,0.0413146317,884,0.04188100249,884,0.04111365601,884,0.0412225686,884,0.04037535936,884,0.04002821073,884,0.03866946325,884,0.03958468884,
883,0.02756509371,883,0.02670518681,883,0.02761033177,883,0.03381491452,883,0.04136738926,883,0.04215475172,883,0.04076588526,883,0.04031457007,883,0.03975656256,883,0.0399460718,883,0.04019159824,883,0.04103566334,
882,0.02803642675,882,0.02668842301,882,0.02693659253,882,0.0339002423,882,0.04161978886,882,0.04266512766,882,0.04189642146,882,0.04064011574,882,0.03935549036,882,0.04053876176,882,0.03996673226,882,0.04112273082,
881,0.02876141109,881,0.02806787938,881,0.02823094279,881,0.03524482623,881,0.04224869236,881,0.04405378178,881,0.04313481972,881,0.04150313884,881,0.04114805907,881,0.04027270526,881,0.04026057571,881,0.04008989409,
880,0.02896607481,880,0.0283971373,880,0.02977311239,880,0.03605429083,880,0.04373465851,880,0.04317007214,880,0.04347947985,880,0.04157961905,880,0.04077657685,880,0.03993951529,880,0.04042731971,880,0.04114507139,
879,0.02909329906,879,0.02810480073,879,0.02959597111,879,0.03533068672,879,0.04326532036,879,0.04326022789,879,0.04244596884,879,0.04070495814,879,0.03970119357,879,0.040110223,879,0.04026370123,879,0.04144891351,
878,0.02902836725,878,0.02816108614,878,0.02925251238,878,0.03553206474,878,0.04375716299,878,0.04399393871,878,0.04222717881,878,0.04170688987,878,0.04008030146,878,0.04075056314,878,0.04152022675,878,0.04097062722,
877,0.02868624218,877,0.02800536528,877,0.02810609899,877,0.03680825979,877,0.04389317334,877,0.04391975328,877,0.04233260825,877,0.04045124352,877,0.04039632529,877,0.04077902436,877,0.03992254287,877,0.04087292403,
876,0.02863265201,876,0.02784964256,876,0.02911192738,876,0.03656790406,876,0.04452397674,876,0.04372315109,876,0.0430146195,876,0.04104408249,876,0.040733248,876,0.04102021456,876,0.0398600027,876,0.0406682305,
875,0.02842601761,875,0.02724950388,875,0.02833778039,875,0.03640029952,875,0.04388020188,875,0.04421814904,875,0.04181472957,875,0.0413133204,875,0.0394462496,875,0.03971713409,875,0.03959418833,875,0.03959682584,
874,0.02913623117,874,0.02815183438,874,0.02843262255,874,0.03729647771,874,0.04482732341,874,0.04431348294,874,0.04283065349,874,0.04152447358,874,0.04050335288,874,0.04059531912,874,0.04004958272,874,0.04010814801,
873,0.02883188985,873,0.02822503261,873,0.02929631993,873,0.03706941381,873,0.04543761164,873,0.04446481168,873,0.04375902191,873,0.04124124348,873,0.04079290107,873,0.04066251591,873,0.04038146511,873,0.04079221562,
872,0.0288001895,872,0.02859336324,872,0.02952201664,872,0.03809861466,872,0.04473414272,872,0.04465506598,872,0.04252210259,872,0.04158218205,872,0.03983026743,872,0.04069063067,872,0.04036649317,872,0.04145227373,
871,0.02931340598,871,0.02810482867,871,0.02937079035,871,0.03910338134,871,0.04554790631,871,0.0457296893,871,0.04360587895,871,0.04247771204,871,0.04099128023,871,0.04097549245,871,0.04068721831,871,0.04152883217,
870,0.02803728357,870,0.02864387818,870,0.02885283157,870,0.03948692977,870,0.04554520175,870,0.04531932995,870,0.04308776557,870,0.041579023,870,0.04042726383,870,0.04054828361,870,0.04064571485,870,0.04136271775,
869,0.02907843515,869,0.02947918326,869,0.02914151922,869,0.03966006637,869,0.0460995324,869,0.04504745454,869,0.04407171905,869,0.04178642482,869,0.04086999595,869,0.0405221954,869,0.04040478915,869,0.041014608,
868,0.02948516794,868,0.02938308939,868,0.03021224216,868,0.04014134035,868,0.04657644406,868,0.04582659528,868,0.04397560656,868,0.04242932796,868,0.04095196724,868,0.04030866176,868,0.04061407968,868,0.04137003422,
867,0.02843101881,867,0.02880450338,867,0.02971736528,867,0.04008095339,867,0.04635300115,867,0.04566323012,867,0.0434317328,867,0.04169078916,867,0.0407096222,867,0.04033166915,867,0.04013631493,867,0.04093632102,
866,0.03067578934,866,0.0302177649,866,0.03112086654,866,0.04199016467,866,0.04745822772,866,0.04632074386,866,0.04456912354,866,0.04307593033,866,0.04179223999,866,0.04130802676,866,0.04097617418,866,0.04185754061,
865,0.02984364517,865,0.02949563973,865,0.03111171909,865,0.04168337956,865,0.0477588065,865,0.04610592127,865,0.04449243098,865,0.04222261533,865,0.04115992785,865,0.04144931212,865,0.04127562791,865,0.04211073741,
864,0.03009980917,864,0.02955349162,864,0.0308706034,864,0.04167335108,864,0.04714946076,864,0.04609438032,864,0.04432664067,864,0.04217714444,864,0.0411474891,864,0.04067778215,864,0.04154686257,864,0.04173361883,
863,0.03046318144,863,0.03010585904,863,0.03158357739,863,0.04236990586,863,0.04817228764,863,0.04653440043,863,0.0448324047,863,0.04282550886,863,0.04144216329,863,0.04169121757,863,0.04107350484,863,0.04181686416,
862,0.03061959334,862,0.03021426685,862,0.03186158091,862,0.04336198792,862,0.04816326499,862,0.04673386738,862,0.04483558983,862,0.04307564348,862,0.04165406153,862,0.04120831192,862,0.04118571058,862,0.0422670655,
861,0.0308965072,861,0.03032972664,861,0.03215854615,861,0.04342569411,861,0.04861410335,861,0.0470363386,861,0.04448606446,861,0.04340526834,861,0.04206476361,861,0.04162725061,861,0.04144429788,861,0.04208572581,
