sample13,,sample14,,sample15,,sample16,,sample17,,sample18,,sample19,,sample20,,sample21,,sample22,,sample23,,sample24,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.03397265077,900,0.03324244544,900,0.03389053047,900,0.03580990806,900,0.03585022315,900,0.03419255838,900,0.03355979547,900,0.03395969048,900,0.03384888545,900,0.03251296282,900,0.03244581446,900,0.03314897791,
899,0.03456587344,899,0.0355040282,899,0.0365553461,899,0.03917779773,899,0.03683770448,899,0.03684880584,899,0.03643999249,899,0.03503732383,899,0.03485370427,899,0.03592006117,899,0.03567162529,899,0.03330171853,
898,0.03272816539,898,0.03192601725,898,0.0329926312,898,0.03703967109,898,0.03533200547,898,0.03328995407,898,0.03409104422,898,0.03403661773,898,0.03237009048,898,0.03393905982,898,0.03300542384,898,0.0321540311,
897,0.03481654078,897,0.03428266197,897,0.03260032088,897,0.03670658544,897,0.03612393513,897,0.03632757068,897,0.03405515105,897,0.03427182138,897,0.03457546234,897,0.03430879861,897,0.03281978518,897,0.03346894309,
896,0.03457660973,896,0.03547846898,896,0.03539580852,896,0.03725501522,896,0.0375194028,896,0.03570133075,896,0.03441546112,896,0.03559438139,896,0.03341920674,896,0.0336082615,896,0.03357039392,896,0.03279876336,
895,0.03567668423,895,0.03381833062,895,0.03543037921,895,0.03992285579,895,0.03673002496,895,0.03551178426,895,0.03458535671,895,0.03482475877,895,0.03482335433,895,0.033278469,895,0.03373265639,895,0.03190328181,
894,0.03318144381,894,0.03241530061,894,0.03359232098,894,0.0362470001,894,0.03540701419,894,0.03398519009,894,0.03333724663,894,0.03372082114,894,0.03374572098,894,0.03206773847,894,0.0321110487,894,0.03103233315,
893,0.03161946312,893,0.03274033591,893,0.03265914693,893,0.0366294682,893,0.03743042797,893,0.03611054644,893,0.03447156399,893,0.03461473435,893,0.03256580606,893,0.03327206895,893,0.03365592286,893,0.03280010074,
892,0.0338671878,892,0.03579461575,892,0.03548562899,892,0.03903382272,892,0.03874527663,892,0.03857125714,892,0.03573286533,892,0.03627815098,892,0.0376856029,892,0.03489474207,892,0.03566055372,892,0.03502028808,
891,0.03381550312,891,0.03512763232,891,0.03329780698,891,0.03775150329,891,0.03724819049,891,0.03560027853,891,0.03646882251,891,0.03464220837,891,0.03335639089,891,0.03392081335,891,0.03438758105,891,0.03307528049,
