sample1,,sample2,,sample3,,sample4,,sample5,,sample6,,sample7,,sample8,,sample9,,sample10,,sample11,,sample12,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.02800486796,900,0.02639489621,900,0.02460002527,900,0.03105332516,900,0.02799677849,900,0.02843212523,900,0.02761336602,900,0.02882190235,900,0.0258982759,900,0.02571584098,900,0.02685022727,900,0.02377757058,
899,0.025423849,899,0.0245385021,899,0.02687682956,899,0.02736343257,899,0.02854163758,899,0.0290519204,899,0.02681330219,899,0.02444113977,899,0.02527387999,899,0.02686909027,899,0.02386983484,899,0.02431543544,
898,0.02747777849,898,0.02773870341,898,0.0280109141,898,0.02955271676,898,0.0305356048,898,0.02872750163,898,0.02897302061,898,0.02613568306,898,0.02600687742,898,0.02713483199,898,0.02713910304,898,0.02774176747,
897,0.02558817528,897,0.02670188434,897,0.02594921924,897,0.02913695201,897,0.03018432483,897,0.02861125208,897,0.0254543703,897,0.02719286643,897,0.02582519315,897,0.0248342026,897,0.02614467219,897,0.02410895564,
896,0.02457378246,896,0.02422564849,896,0.02629461326,896,0.02749129012,896,0.02640204877,896,0.02656872757,896,0.02663139254,896,0.02548179217,896,0.02703338675,896,0.02509535477,896,0.02609796636,896,0.02577484027,
895,0.02503036149,895,0.02684681304,895,0.02798570693,895,0.02995526232,895,0.02829368412,895,0.02966794372,895,0.0300689321,895,0.02784431726,895,0.02776406333,895,0.02746026777,895,0.02516963147,895,0.02603032067,
894,0.02526411228,894,0.0252122879,894,0.02719556727,894,0.02695129998,894,0.02989743836,894,0.02752926759,894,0.02847062424,894,0.02586959116,894,0.02577890642,894,0.02602416463,894,0.0258747004,894,0.02518079616,
893,0.02397538722,893,0.02446753904,893,0.02338204719,893,0.02759772539,893,0.02807014249,893,0.02628597803,893,0.02717183903,893,0.02568093501,893,0.02526383847,893,0.02519942261,893,0.0256117899,893,0.02543411404,
892,0.02558570541,892,0.02479172125,892,0.02419929206,892,0.0275383126,892,0.02758076228,892,0.02716621757,892,0.02493099682,892,0.02561008744,892,0.02467177808,892,0.02386433817,892,0.02407880127,892,0.02395251766,
