sample13,,sample14,,sample15,,sample16,,sample17,,sample18,,sample19,,sample20,,sample21,,sample22,,sample23,,sample24,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.03034191392,900,0.02961886115,900,0.02972764894,900,0.03137464449,900,0.0317039974,900,0.02989011817,900,0.02782392129,900,0.02740793116,900,0.02663832717,900,0.02621703781,900,0.0256851092,900,0.02523717098,
899,0.03198060021,899,0.03099869192,899,0.03223365173,899,0.03528168797,899,0.03191551194,899,0.03328310698,899,0.03012805432,899,0.03003095649,899,0.02959489077,899,0.02972107939,899,0.02881664783,899,0.02738893591,
898,0.03044060804,898,0.02955800854,898,0.03215879947,898,0.03484528884,898,0.03332866356,898,0.0326910466,898,0.03032256477,898,0.03065009415,898,0.0283321999,898,0.0278258808,898,0.02785464004,898,0.02743823454,
897,0.03161573038,897,0.03258949518,897,0.03302354738,897,0.03447680175,897,0.03270070255,897,0.03159117699,897,0.03119751625,897,0.03007498011,897,0.02958214469,897,0.03017597273,897,0.02805338241,897,0.02897155285,
896,0.02944721468,896,0.0303910505,896,0.03034643829,896,0.03142715245,896,0.031891305,896,0.02993690223,896,0.03007400967,896,0.02781671658,896,0.02774750628,896,0.02651746199,896,0.02626923099,896,0.02615366317,
895,0.03044127487,895,0.02992106602,895,0.03224499896,895,0.0332018137,895,0.03343427554,895,0.03131913394,895,0.03068709746,895,0.02869945951,895,0.02981516905,895,0.02810841799,895,0.0275007505,895,0.02836013585,
894,0.02961728163,894,0.03006746247,894,0.03062453866,894,0.0332338661,894,0.03224954382,894,0.03202434629,894,0.02937295102,894,0.0284514986,894,0.02950985357,894,0.02870405093,894,0.02730049565,894,0.02787390538,
893,0.0301393196,893,0.02900797129,893,0.03152843192,893,0.03201790899,893,0.03220844641,893,0.03054013103,893,0.03199467063,893,0.03051874787,893,0.02848751284,893,0.028225502,893,0.02697724663,893,0.02726639807,
892,0.03161183372,892,0.03058098629,892,0.03040198795,892,0.03389262781,892,0.03517282009,892,0.03399313986,892,0.03145058453,892,0.02984469756,892,0.03031670861,892,0.03092277423,892,0.0294171311,892,0.02913246676,
891,0.03216300905,891,0.03283846006,891,0.03338686004,891,0.03610115126,891,0.03508867696,891,0.03455544636,891,0.0317014046,891,0.0310792122,891,0.03180924058,891,0.03147802502,891,0.03202601895,891,0.02729677409,
890,0.03119387291,890,0.02928870358,890,0.03142300621,890,0.03301969543,890,0.03451735526,890,0.03255241364,890,0.03089231066,890,0.02980981953,890,0.0278978087,890,0.02777256258,890,0.02767896838,890,0.02806829289,
889,0.03131846711,889,0.03208507225,889,0.03425417468,889,0.03754787892,889,0.03449485078,889,0.0338758938,889,0.03322618082,889,0.0323760882,889,0.03177698702,889,0.03133769333,889,0.02944776788,889,0.030067157,
888,0.03052352369,888,0.03092132881,888,0.03032389842,888,0.03393430263,888,0.03441963717,888,0.03273444623,888,0.03089161403,888,0.0304737892,888,0.02966187522,888,0.02943109162,888,0.02883797511,888,0.02820329182,
887,0.03184271976,887,0.0308276657,887,0.03206155077,887,0.03591435403,887,0.03396562487,887,0.03357663006,887,0.03232240304,887,0.03189890832,887,0.03068840317,887,0.03013665602,887,0.02953102067,887,0.02830224857,
886,0.02993121743,886,0.03092485853,886,0.0315476656,886,0.03400747478,886,0.03337422758,886,0.03265925869,886,0.03164493665,886,0.03089695238,886,0.02930548601,886,0.02966378629,886,0.02955792472,886,0.02754727751,
885,0.03127225861,885,0.03158001229,885,0.03232469037,885,0.03601876646,885,0.03400783986,885,0.03330054507,885,0.03359978646,885,0.03059328906,885,0.02999192849,885,0.02985634468,885,0.02942247689,885,0.02897678316,
