sample25,,sample26,,sample27,,sample28,,sample29,,sample30,,sample31,,sample32,,sample33,,sample34,,sample35,,sample36,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.02021933906,900,0.01947077736,900,0.0186215993,900,0.02098831907,900,0.02193323337,900,0.02401603758,900,0.02585585415,900,0.02470194548,900,0.02533191256,900,0.02524797991,900,0.02517382801,900,0.02521582693,
899,0.02061636187,899,0.02085888386,899,0.02001257427,899,0.02094835788,899,0.02397713624,899,0.02565053478,899,0.02647968382,899,0.02496745996,899,0.02574569732,899,0.02462539449,899,0.02332604863,899,0.02762445621,
898,0.02033735253,898,0.01956952363,898,0.01964936033,898,0.02057591826,898,0.02188961767,898,0.0248306673,898,0.02683962695,898,0.02541594394,898,0.02575783804,898,0.02531898953,898,0.0234376695,898,0.02665079571,
897,0.02012611181,897,0.02033919841,897,0.02088389918,897,0.02047336288,897,0.02433191612,897,0.02633551136,897,0.02528095804,897,0.0255974289,897,0.02619924769,897,0.02657290921,897,0.02699782327,897,0.02463276312,
896,0.02074314468,896,0.01954344846,896,0.01894863881,896,0.01975272596,896,0.02488968335,896,0.02558369935,896,0.02659652196,896,0.02724407241,896,0.02764470503,896,0.02498281375,896,0.02555163205,896,0.02511924505,
895,0.02023289911,895,0.01993860677,895,0.02113263123,895,0.02229912579,895,0.02440507524,895,0.02646823972,895,0.02730749734,895,0.02691968158,895,0.02671380341,895,0.0271169208,895,0.02586884983,895,0.02611116134,
894,0.02021250501,894,0.02015217021,894,0.02221722156,894,0.02144921944,894,0.02546117827,894,0.02635462582,894,0.02924500778,894,0.02646917477,894,0.02713538334,894,0.02599745058,894,0.02573413402,894,0.02615539543,
893,0.02205890417,893,0.01942318678,893,0.02124752104,893,0.02202341892,893,0.02443790808,893,0.02743227966,893,0.02697135136,893,0.02683078684,893,0.025609456,893,0.02763976529,893,0.02624819241,893,0.02576025575,
892,0.01849238202,892,0.01933862828,892,0.01940247789,892,0.01947822236,892,0.02350515872,892,0.0259736497,892,0.02650519088,892,0.02552612685,892,0.02554361522,892,0.02410692908,892,0.02485876344,892,0.0243343804,
891,0.01964499988,891,0.01877602004,891,0.01973519847,891,0.02115632966,891,0.0240546409,891,0.02765623666,891,0.02599145845,891,0.02700845525,891,0.02726626024,891,0.02633839846,891,0.02587698214,891,0.02447580919,
890,0.0204818286,890,0.0197462514,890,0.02034096047,890,0.02133587934,890,0.02506252751,890,0.02861246839,890,0.02763849683,890,0.02794523351,890,0.0277868025,890,0.02619009279,890,0.02606704272,890,0.02619124763,
889,0.02100858651,889,0.01959508844,889,0.02035398223,889,0.02238306403,889,0.02638193965,889,0.02643679269,889,0.02809339575,889,0.02956224792,889,0.02835529856,889,0.02699771337,889,0.02712805383,889,0.02586019412,
888,0.01967636496,888,0.01997923478,888,0.02102841996,888,0.02221934497,888,0.02581862733,888,0.02698063478,888,0.02871942706,888,0.02771960944,888,0.02682638168,888,0.0272295475,888,0.02676583454,888,0.02525637485,
887,0.02181143686,887,0.02200155146,887,0.02123028785,887,0.02214004286,887,0.02777289413,887,0.02853489295,887,0.02818575129,887,0.0293621216,887,0.02885913849,887,0.02628644556,887,0.02679317445,887,0.02630591765,
886,0.02022457309,886,0.01942529716,886,0.02097527869,886,0.02191014588,886,0.02600940503,886,0.02710325457,886,0.0275192,886,0.02798518166,886,0.02805931866,886,0.0281831827,886,0.02651151828,886,0.02543057315,
885,0.02071265504,885,0.01925238222,885,0.02031893469,885,0.02279238217,885,0.02652714774,885,0.02701256052,885,0.02783705853,885,0.0286370758,885,0.02751475945,885,0.02713990211,885,0.02678408846,885,0.0259257257,
884,0.02137856744,884,0.02044500597,884,0.02159338444,884,0.02218913287,884,0.02740321681,884,0.02770140022,884,0.02824191004,884,0.02842905745,884,0.02778255194,884,0.02820561267,884,0.02750634775,884,0.02651776373,
883,0.02044560388,883,0.01970274746,883,0.02026555315,883,0.02196212113,883,0.02688781731,883,0.02757527307,883,0.02783443592,883,0.02929817513,883,0.02763720043,883,0.02728660405,883,0.02627731487,883,0.02558232658,
882,0.01955511793,882,0.0205401741,882,0.01999075338,882,0.02300716192,882,0.026957497,882,0.02864285558,882,0.02853185125,882,0.02919918485,882,0.02894186229,882,0.02780551277,882,0.02730821446,882,0.02617002092,
881,0.02081594616,881,0.02004976571,881,0.01987034082,881,0.02309284732,881,0.0262858402,881,0.02862311341,881,0.02837334387,881,0.02812747471,881,0.02757347934,881,0.02758401632,881,0.02667168714,881,0.02573171631,
880,0.02168469504,880,0.0202707611,880,0.02043168433,880,0.02413911,880,0.02709631249,880,0.02846078575,880,0.02859408222,880,0.02837024815,880,0.02818445303,880,0.02677827887,880,0.02657571621,880,0.02644678019,
879,0.02054025605,879,0.02090907842,879,0.02167098224,879,0.02387024648,879,0.02817116864,879,0.02801999822,879,0.02915262058,879,0.02886630408,879,0.02836394869,879,0.02726664767,879,0.02717988566,879,0.02640067227,
878,0.02171291411,878,0.02117676847,878,0.02118024603,878,0.02534401417,878,0.02927009575,878,0.02947439067,878,0.02992722392,878,0.02978819422,878,0.02829840779,878,0.02817840502,878,0.02736941539,878,0.02730802074,
877,0.02027146704,877,0.01957252994,877,0.02013332397,877,0.02409105934,877,0.02830443159,877,0.02899059281,877,0.02867888659,877,0.02850362845,877,0.02799862809,877,0.02848096192,877,0.02664545737,877,0.02669511177,
876,0.02242743783,876,0.02208110131,876,0.02209605277,876,0.02548160031,876,0.02875623852,876,0.02981145494,876,0.03029969335,876,0.02974123135,876,0.02932204679,876,0.0285321828,876,0.02844862454,876,0.02745138854,
875,0.02129593864,875,0.02058902942,875,0.02162600495,875,0.0250586886,875,0.02885728516,875,0.02969635464,875,0.0297183916,875,0.0290963985,875,0.02828647196,875,0.02831642143,875,0.02726124413,875,0.02779554948,
874,0.02067149617,874,0.02093197778,874,0.02170858905,874,0.02614643238,874,0.0293825902,874,0.02977391705,874,0.03003997169,874,0.02901821025,874,0.02950910479,874,0.02848049253,874,0.02690720558,874,0.02707570232,
873,0.02201808058,873,0.02186639607,873,0.02196498029,873,0.02653177083,873,0.03004673868,873,0.03090153821,873,0.03075449914,873,0.03025531396,873,0.02983233146,873,0.02925816178,873,0.02835306153,873,0.0279727038,
872,0.02260058559,872,0.02156914584,872,0.02250556462,872,0.02688817494,872,0.03047192842,872,0.03106119297,872,0.03117343038,872,0.03057798557,872,0.03017958067,872,0.02912147716,872,0.02901059948,872,0.02821008675,
871,0.02269909158,871,0.02253083885,871,0.02287952602,871,0.02763173915,871,0.03033225425,871,0.03125609457,871,0.03186528385,871,0.03116333298,871,0.03058623523,871,0.03008296899,871,0.02915472351,871,0.02845235541,
870,0.02227828093,870,0.0219631847,870,0.02249283344,870,0.02689037845,870,0.03058359586,870,0.03102215752,870,0.03058051318,870,0.03035051934,870,0.02977433242,870,0.02872786112,870,0.0284973532,870,0.0281058494,
869,0.0219549071,869,0.02186127938,869,0.02318982594,869,0.02680798806,869,0.0305141937,869,0.03080665693,869,0.0316567719,869,0.03082671948,869,0.02948605455,869,0.02946751937,869,0.02963202633,869,0.02853204496,
868,0.0231651701,868,0.0224414207,868,0.02370897308,868,0.02887208574,868,0.03161052614,868,0.03183912858,868,0.0318194069,868,0.03149375319,868,0.03053924255,868,0.03076522425,868,0.02987120673,868,0.02972213365,
867,0.02291824669,867,0.02304706909,867,0.0236265827,867,0.02823298797,867,0.03185793012,867,0.03247284517,867,0.0317642875,867,0.03115145862,867,0.03094609454,867,0.03000549227,867,0.03012483567,867,0.02862214483,
866,0.0230786521,866,0.02232809365,866,0.02352190949,866,0.028290838,866,0.03161498159,866,0.03211447969,866,0.03163753077,866,0.03113168478,866,0.03037572466,866,0.03066626191,866,0.02959164791,866,0.02853619121,
865,0.02363568544,865,0.02339472249,865,0.02474951744,865,0.02926494554,865,0.0325227268,865,0.03277648613,865,0.03234259412,865,0.03162163496,865,0.03102357499,865,0.03039338253,865,0.02966065519,865,0.02859963849,
