sample13,,sample14,,sample15,,sample16,,sample17,,sample18,,sample19,,sample20,,sample21,,sample22,,sample23,,sample24,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.0181129761,900,0.01779983379,900,0.01679204218,900,0.01725788042,900,0.01962057129,900,0.01834405772,900,0.02216723002,900,0.02151585557,900,0.0221311897,900,0.02085008472,900,0.02260001376,900,0.02037033997,
899,0.01859966107,899,0.01662017033,899,0.01562586799,899,0.01890651137,899,0.01992069185,899,0.02101578563,899,0.02095805481,899,0.02170970477,899,0.02055328339,899,0.02186977305,899,0.02185874619,899,0.02094126679,
898,0.0175361298,898,0.01580945402,898,0.01694702357,898,0.01765454933,898,0.0171498023,898,0.01943268813,898,0.02057285234,898,0.01988380961,898,0.01871426217,898,0.01902030222,898,0.01959205419,898,0.01780393347,
897,0.016085729,897,0.01714150794,897,0.0163901113,897,0.01744116098,897,0.01823292859,897,0.02022538707,897,0.02140480839,897,0.02078555897,897,0.0208045952,897,0.02067955956,897,0.02101543359,897,0.01829883084,
896,0.01833290607,896,0.01680038311,896,0.01734138839,896,0.0192516502,896,0.01838197187,896,0.02147021517,896,0.02212609723,896,0.02003106102,896,0.02054725774,896,0.0212456733,896,0.02022495307,896,0.02021074295,
895,0.0194600299,895,0.0179796461,895,0.0173489321,895,0.01998966932,895,0.02193010226,895,0.02221901901,895,0.02088607103,895,0.02387142181,895,0.02287797071,895,0.02303964458,895,0.0235851761,895,0.02354614995,
894,0.01791392826,894,0.01625626162,894,0.01837157458,894,0.02019683085,894,0.0209673997,894,0.02126676776,894,0.02192011103,894,0.02317560092,894,0.02183509246,894,0.02162535302,894,0.02221158147,894,0.02058435977,
893,0.0184913557,893,0.01808506995,893,0.0172283873,893,0.01970927417,893,0.02052782662,893,0.02064809576,893,0.02290029079,893,0.02265730873,893,0.02262109332,893,0.02305441163,893,0.02297307365,893,0.02171375789,
892,0.01718330383,892,0.01794446632,892,0.01857726276,892,0.01878877915,892,0.02114543132,892,0.02039025351,892,0.02161708102,892,0.02350272611,892,0.02133443765,892,0.02255652286,892,0.02186881937,892,0.02113442495,
891,0.01716741361,891,0.01567849331,891,0.01731046103,891,0.01747109927,891,0.01925343648,891,0.02022186108,891,0.02064635791,891,0.02125983685,891,0.02055955306,891,0.02144603617,891,0.02143042721,891,0.0194339063,
890,0.01777850278,890,0.01600004546,890,0.01607914828,890,0.0177262146,890,0.01883751713,890,0.02019761689,890,0.02222182415,890,0.02111787349,890,0.02019764483,890,0.02050481364,890,0.02198107354,890,0.01969264261,
889,0.01613631472,889,0.01599010825,889,0.01673664525,889,0.01823956892,889,0.02092991211,889,0.02012744173,889,0.020031441,889,0.02009861916,889,0.02133612335,889,0.01972929388,889,0.01983755454,889,0.01839452982,
888,0.01777944528,888,0.01592383161,888,0.01746465825,888,0.01893601194,888,0.02012293972,888,0.02093328163,888,0.02306325547,888,0.02212931029,888,0.02251925133,888,0.02264931798,888,0.02172472514,888,0.02094737999,
887,0.01719873399,887,0.01715322211,887,0.01736886799,887,0.01811383851,887,0.0196569711,887,0.0207880307,887,0.02146899141,887,0.02251758799,887,0.02075115591,887,0.02126337029,887,0.02193154581,887,0.02116842382,
886,0.01764964312,886,0.01675039157,886,0.01751597039,886,0.01887855493,886,0.02060884424,886,0.02216638438,886,0.02130230144,886,0.02222969942,886,0.02153329179,886,0.02052986249,886,0.02078661881,886,0.02128348686,
885,0.01795393601,885,0.01768221147,885,0.01822906919,885,0.01915357262,885,0.02172303759,885,0.02229806408,885,0.02277549542,885,0.02362155356,885,0.02328229323,885,0.02305662259,885,0.02202646807,885,0.02092428878,
884,0.01537597924,884,0.01692347229,884,0.01586741768,884,0.0176874958,884,0.02079294622,884,0.02107806318,884,0.02217992395,884,0.02129142545,884,0.01977697201,884,0.02083430625,884,0.02048245259,884,0.02023409307,
883,0.01747877896,883,0.01688469015,883,0.01631702483,883,0.01867902093,883,0.0223938562,883,0.02260527574,883,0.02281712741,883,0.02298459038,883,0.02181198262,883,0.02194456011,883,0.02211068012,883,0.02175501548,
882,0.01811794192,882,0.01785895415,882,0.01846785657,882,0.02053246647,882,0.02290209197,882,0.02320631966,882,0.0234819334,882,0.02378046885,882,0.02374243736,882,0.02297615632,882,0.02234362625,882,0.02269895561,
881,0.01845764741,881,0.01845245995,881,0.01810188405,881,0.02053754218,881,0.02219531685,881,0.02284089103,881,0.02354921028,881,0.02387347259,881,0.02300044894,881,0.02301234752,881,0.02231185138,881,0.02239224873,
880,0.0176035706,880,0.019062493,880,0.01822609827,880,0.01968037337,880,0.02226424776,880,0.02326798253,880,0.02269824594,880,0.0235780701,880,0.02302992716,880,0.02288967557,880,0.02281259745,880,0.02236744575,
879,0.01827220991,879,0.01790254377,879,0.01785523258,879,0.02179913409,879,0.02318646759,879,0.02277492359,879,0.023111986,879,0.02434804104,879,0.02386865951,879,0.02266647294,879,0.02275582775,879,0.02246164717,
878,0.01906855218,878,0.01844511367,878,0.01887896098,878,0.02104379982,878,0.02464914694,878,0.02500527166,878,0.02450451255,878,0.02431064472,878,0.02374514379,878,0.02396258339,878,0.02308774181,878,0.02282935008,
877,0.01768207736,877,0.01768418029,877,0.01809265465,877,0.02014937624,877,0.02295754477,877,0.02371310256,877,0.02308351174,877,0.02376146615,877,0.02302924357,877,0.02206192724,877,0.02211912349,877,0.02199169248,
876,0.01729354449,876,0.01799837127,876,0.01807095669,876,0.02144497633,876,0.02275009826,876,0.02300167643,876,0.02426848747,876,0.02310450561,876,0.02329783514,876,0.02255142294,876,0.02317317016,876,0.02172339149,
875,0.02083292045,875,0.02057494223,875,0.01993795671,875,0.0228438098,875,0.02468016185,875,0.02503699809,875,0.02596884035,875,0.02571858838,875,0.02515736967,875,0.02494591102,875,0.02446353994,875,0.02459427342,
874,0.01929299906,874,0.01981753111,874,0.02067217417,874,0.02172178589,874,0.02400408313,874,0.02483516186,874,0.02498588525,874,0.02493763156,874,0.02537732944,874,0.02469717897,874,0.02445442043,874,0.02394898981,
873,0.01904183067,873,0.01804259606,873,0.019564813,873,0.02166842483,873,0.02468397096,873,0.02436101995,873,0.02534862421,873,0.02441422082,873,0.02429041266,873,0.02414458431,873,0.02397801168,873,0.02377691492,
872,0.01878440008,872,0.01933121309,872,0.01892278902,872,0.02133400179,872,0.02426210791,872,0.02513956837,872,0.02495037951,872,0.02506878041,872,0.02368256636,872,0.02409587614,872,0.02326282114,872,0.02294024266,
871,0.0186838042,871,0.01868607476,871,0.01896432228,871,0.02194240876,871,0.02467865497,871,0.02534983307,871,0.0248474963,871,0.02516203374,871,0.02459879406,871,0.02432301827,871,0.02386338077,871,0.02315692417,
870,0.01893666014,870,0.0189498011,870,0.01971187443,870,0.02225806192,870,0.02407352068,870,0.02468619123,870,0.02513767593,870,0.02392366156,870,0.0244090464,870,0.02389412187,870,0.02379304729,870,0.02358536609,
869,0.01990744099,869,0.0196509324,869,0.019890422,869,0.02340881899,869,0.02461887337,869,0.02529143915,869,0.0260121543,869,0.02551613376,869,0.02521854267,869,0.02454789728,869,0.02412438765,869,0.02341991104,
868,0.02069965005,868,0.02098967694,868,0.02148414031,868,0.0243864283,868,0.02573427185,868,0.0262649674,868,0.02683882788,868,0.0266284477,868,0.02699975111,868,0.0256399624,868,0.02560346946,868,0.02560668252,
867,0.01985584386,867,0.02063001692,867,0.02071015723,867,0.02364536189,867,0.02564592101,867,0.02637256123,867,0.02619319968,867,0.02590519935,867,0.02541174553,867,0.02521475591,867,0.02441263199,867,0.02427719161,
866,0.02071735077,866,0.02044617385,866,0.02056033909,866,0.02382260747,866,0.02690406516,866,0.02725722082,866,0.02643640712,866,0.0266976729,866,0.02587505803,866,0.0263876617,866,0.02545291558,866,0.0254846476,
865,0.02119872905,865,0.02127535827,865,0.02141731791,865,0.02476842515,865,0.02679278888,865,0.0269632265,865,0.02728938684,865,0.02672660537,865,0.02594834007,865,0.02619732358,865,0.02538377978,865,0.02580912225,
864,0.01996194199,864,0.02020295896,864,0.02083115466,864,0.02402093448,864,0.02628355846,864,0.02663722634,864,0.02672605403,864,0.02623106167,864,0.02576808445,864,0.02548733726,864,0.02548486739,864,0.02520049177,
863,0.02104390785,863,0.02098937891,863,0.02112567425,863,0.02576346882,863,0.02625853382,863,0.02728864364,863,0.02785243094,863,0.02751200274,863,0.02754344232,863,0.02618090995,863,0.02695485204,863,0.02668236755,
862,0.0221656505,862,0.02210351638,862,0.02303361148,862,0.02618002892,862,0.02788604982,862,0.02817445435,862,0.02813288756,862,0.02804664336,862,0.0273717586,862,0.02733349241,862,0.02637762204,862,0.0263045691,
861,0.02177395858,861,0.02179083228,861,0.02214617282,861,0.02631416731,861,0.02768950909,861,0.02844450623,861,0.02817365341,861,0.0276637394,861,0.02725986578,861,0.02795804292,861,0.02711333893,861,0.02683461457,
860,0.02166869678,860,0.02252151445,860,0.02273405902,860,0.026537247,860,0.02896422148,860,0.02929296903,860,0.02835715003,860,0.02764122747,860,0.02745850198,860,0.02813233435,860,0.0272758808,860,0.02670518681,
859,0.02289570682,859,0.02360564657,859,0.02391367778,859,0.02789361216,859,0.02900155075,859,0.02964064479,859,0.02933190577,859,0.02895121463,859,0.02874005772,859,0.02839788236,859,0.02821516991,859,0.02806138992,
858,0.02261435799,858,0.02303590439,858,0.02348698862,858,0.0275906641,858,0.02913620323,858,0.02946339175,858,0.02924725227,858,0.02904198319,858,0.02878268063,858,0.0281884037,858,0.02761626244,858,0.02767358907,
857,0.02328308672,857,0.02292045765,857,0.02430601791,857,0.02812236547,857,0.02992361784,857,0.03026483394,857,0.02996588498,857,0.02945851721,857,0.02950602956,857,0.02882046439,857,0.02785985544,857,0.02829061635,
856,0.02411814965,856,0.02398115769,856,0.0251330398,856,0.02867952175,856,0.03026580438,856,0.03045032732,856,0.03048006445,856,0.02996341512,856,0.02958430536,856,0.02933664247,856,0.02896864899,856,0.02878948487,
855,0.02408312447,855,0.02402205765,855,0.02501972206,855,0.0287753772,855,0.03057073615,855,0.03082319163,855,0.03098251112,855,0.03031207249,855,0.03031659871,855,0.02967218496,855,0.02925857715,855,0.02911574766,
