sample1,,sample2,,sample3,,sample4,,sample5,,sample6,,sample7,,sample8,,sample9,,sample10,,sample11,,sample12,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.01387992036,900,0.01123263314,900,0.01170235686,900,0.01191893127,900,0.01247202698,900,0.01072425302,900,0.01188261528,900,0.01134257019,900,0.01190573443,900,0.01112067979,900,0.01094787847,900,0.0118050715,
899,0.01091923565,899,0.01149155293,899,0.01187641639,899,0.0109496573,899,0.01057325304,899,0.01142178569,899,0.01303017698,899,0.0110356519,899,0.0110432459,899,0.01058993675,899,0.01225152984,899,0.01097134687,
898,0.01506895758,898,0.01442904584,898,0.01326793805,898,0.01442029513,898,0.01459782943,898,0.01541476045,898,0.0151676191,898,0.01451752428,898,0.01375338808,898,0.01498435903,898,0.01267123502,898,0.01457847469,
897,0.01426401827,897,0.01229983289,897,0.01210343093,897,0.01336659119,897,0.01299027354,897,0.01327794604,897,0.01357630547,897,0.01296691038,897,0.01232081745,897,0.01297784504,897,0.01377652772,897,0.01348676253,
896,0.01122729387,896,0.01396892965,896,0.01405076403,896,0.01360394899,896,0.01286448073,896,0.01305759884,896,0.01324028894,896,0.01292181294,896,0.01367895585,896,0.01414767001,896,0.01261068508,896,0.01267200802,
895,0.01261665393,895,0.01321600378,895,0.01324058231,895,0.01213098131,895,0.01298686024,895,0.01269466244,895,0.0134362448,895,0.01287520025,895,0.01292357221,895,0.01324834861,895,0.01218118798,895,0.01373278815,
894,0.01324431878,894,0.01262163743,894,0.01307539269,894,0.01281502098,894,0.01433357503,894,0.01205198281,894,0.0135515742,894,0.01436565444,894,0.01153692696,894,0.01265241858,894,0.01246960275,894,0.01422600821,
893,0.01316935942,893,0.01404544339,893,0.01208714116,893,0.01328144222,893,0.01217173692,893,0.01434994861,893,0.01434160117,893,0.01358960569,893,0.01389870979,893,0.01324858889,893,0.01300465036,893,0.01287853252,
892,0.01348329149,892,0.0129799787,892,0.01340583526,892,0.01400640979,892,0.01426500827,892,0.01347525418,892,0.0126580419,892,0.01281443518,892,0.01198593061,892,0.01289125253,892,0.0139186224,892,0.01369915251,
891,0.01517496444,891,0.01487831865,891,0.01502106898,891,0.01407167315,891,0.01393233426,891,0.01535401493,891,0.01517391857,891,0.01400141045,891,0.01244666707,891,0.01343482919,891,0.01410290413,891,0.01484636124,
890,0.01268066932,890,0.01118150074,890,0.01248742547,890,0.01335166954,890,0.01306200121,890,0.0127958525,890,0.01261159126,890,0.01344700437,890,0.01286922675,890,0.01253730059,890,0.01270439196,890,0.01282536611,
889,0.01349282358,889,0.01284413598,889,0.01201876905,889,0.01136672404,889,0.01254585385,889,0.0121902395,889,0.01194010954,889,0.0118128648,889,0.01252925396,889,0.01325075049,889,0.01180094853,889,0.01141383965,
888,0.0138514312,888,0.01398130599,888,0.01464784052,888,0.01414467487,888,0.0134815285,888,0.0139364507,888,0.01265583001,888,0.01289247908,888,0.014028145,888,0.01312850975,888,0.01433175523,888,0.01288311929,
887,0.01472340338,887,0.01387639251,887,0.01360381488,887,0.01420760527,887,0.01263075136,887,0.0141838016,887,0.01415577345,887,0.01442535222,887,0.01259088516,887,0.01378980745,887,0.01355654188,887,0.01322064735,
886,0.01259941235,886,0.01303295139,886,0.01361367106,886,0.01369602699,886,0.01320789196,886,0.0129142385,886,0.01326967217,886,0.01445845608,886,0.01303345803,886,0.01264239755,886,0.01303321775,886,0.01229671761,
885,0.01297309715,885,0.01339494251,885,0.01352404058,885,0.01361356396,885,0.01240583137,885,0.01362774801,885,0.01280515641,885,0.01242362522,885,0.01353944931,885,0.01341058686,885,0.01356896013,885,0.01229890063,
884,0.01317741815,884,0.01335524581,884,0.01340145618,884,0.01359866001,884,0.01418757252,884,0.01306210738,884,0.01362593099,884,0.01388721727,884,0.01387577783,884,0.01342377625,884,0.0138030611,884,0.01363621559,
883,0.0143382838,883,0.01493369322,883,0.01415903587,883,0.01353312004,883,0.01441133022,883,0.01282744575,883,0.01482640579,883,0.01364898309,883,0.01453620754,883,0.01402370725,883,0.01452852599,883,0.01420022361,
882,0.01274266932,882,0.01304660924,882,0.01321808528,882,0.01448677201,882,0.01397510432,882,0.01362635847,882,0.01387035288,882,0.01241065282,882,0.0135384351,882,0.01351642981,882,0.01235328149,882,0.01281112898,
881,0.01505545061,881,0.01501946151,881,0.01408702135,881,0.01453837566,881,0.01514588017,881,0.01509540994,881,0.01528214943,881,0.01527405251,881,0.01529872045,881,0.01525544468,881,0.01389582269,881,0.01400643587,
880,0.01515317149,880,0.01414649375,880,0.01438780967,880,0.01454838645,880,0.01521273609,880,0.01617529988,880,0.01494982187,880,0.01448778901,880,0.01450293697,880,0.01477010734,880,0.01410322543,880,0.01484261081,
879,0.01404071134,879,0.01384269167,879,0.01438425109,879,0.01391570922,879,0.01401226409,879,0.01370767504,879,0.01426653285,879,0.01454822626,879,0.01382767316,879,0.01486101374,879,0.01408557687,879,0.0136831766,
878,0.0138789583,878,0.01413015369,878,0.01356637012,878,0.01403547078,878,0.014595313,878,0.01427156199,878,0.013627721,878,0.0140513787,878,0.01481279917,878,0.01497104205,878,0.0148293525,878,0.013625958,
877,0.01531183254,877,0.0146152582,877,0.0149766691,877,0.01465996914,877,0.0145417219,877,0.01521067228,877,0.01465798821,877,0.01426262781,877,0.01451843511,877,0.01468251459,877,0.01436332706,877,0.01450657751,
876,0.01542860083,876,0.01545156073,876,0.01476638485,876,0.01532352436,876,0.01534768566,876,0.01526536513,876,0.01579248719,876,0.01510031521,876,0.01522356737,876,0.01557628158,876,0.01528316829,876,0.01580829918,
875,0.01505043916,875,0.01556608547,875,0.01514676493,875,0.01611237787,875,0.01553233434,875,0.01523501519,875,0.01584961638,875,0.01613333263,875,0.01637508348,875,0.01541100536,875,0.01505341381,875,0.01540977228,
