sample13,,sample14,,sample15,,sample16,,sample17,,sample18,,sample19,,sample20,,sample21,,sample22,,sample23,,sample24,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.01108259801,900,0.01202648692,900,0.01316002104,900,0.01224481966,900,0.01045499835,900,0.009524411522,900,0.01054609288,900,0.01183736417,900,0.01205400471,900,0.01397726964,900,0.009400703013,900,0.01167318504,
899,0.01156537142,899,0.009190298617,899,0.0130523704,899,0.01147493999,899,0.0126189189,899,0.01119435579,899,0.01086930744,899,0.01399542205,899,0.01033900399,899,0.01148740575,899,0.01128906012,899,0.01198039576,
898,0.01113122329,898,0.009635478258,898,0.01026886515,898,0.009181653149,898,0.01004882064,898,0.008887564763,898,0.009373140521,898,0.00976589974,898,0.009930656292,898,0.008781919256,898,0.008203373291,898,0.009512689896,
897,0.01277223229,897,0.01005242299,897,0.0125086857,897,0.01219649613,897,0.01413149107,897,0.01117860526,897,0.01244219113,897,0.01221036725,897,0.01095565688,897,0.01235924754,897,0.0112470584,897,0.0121507328,
896,0.01187176071,896,0.01159022935,896,0.01431891322,896,0.01393813454,896,0.01180419326,896,0.01238955744,896,0.01211772487,896,0.01280158386,896,0.01254300214,896,0.01198342908,896,0.01286266744,896,0.01102112792,
895,0.01307056379,895,0.01114498079,895,0.01170150563,895,0.01095610857,895,0.01271382719,895,0.01070162095,895,0.0117182862,895,0.01218512841,895,0.0130570922,895,0.01124349888,895,0.01055415627,895,0.01392787043,
894,0.01091344934,894,0.01021196134,894,0.01099529397,894,0.01012446079,894,0.01080025081,894,0.01104327198,894,0.008588052355,894,0.0109519409,894,0.01128090359,894,0.01138370391,894,0.01067073923,894,0.009371076711,
893,0.01345976721,893,0.01252437849,893,0.01138880569,893,0.01165047754,893,0.01215432677,893,0.01351672411,893,0.01138099376,893,0.01078963559,893,0.01077957824,893,0.01114755683,893,0.01178224944,893,0.01130128093,
892,0.01108830795,892,0.01127814036,892,0.01056054793,892,0.01191302389,892,0.01248702593,892,0.0105343964,892,0.01163484249,892,0.01101597678,892,0.01039191987,892,0.01139204856,892,0.01142335311,892,0.01091490872,
891,0.0132136289,891,0.01237264462,891,0.01169863436,891,0.01307475194,891,0.01073356625,891,0.01252464484,891,0.01172525436,891,0.01285709441,891,0.01189990807,891,0.01216321811,891,0.01153445523,891,0.01152424701,
890,0.01357451547,890,0.01385712344,890,0.01383323129,890,0.01315756608,890,0.0151189426,890,0.01494765189,890,0.01201565564,890,0.01368429884,890,0.012094195,890,0.01338413078,890,0.01285693515,890,0.01233075093,
889,0.01336314809,889,0.01459534001,889,0.0132583566,889,0.01402015146,889,0.01338357013,889,0.0130840363,889,0.01204801723,889,0.01263741404,889,0.01345498767,889,0.01310281735,889,0.01316957269,889,0.01431821752,
888,0.01278494857,888,0.01383881643,888,0.0135602802,888,0.01338736061,888,0.01246187743,888,0.01311396901,888,0.01324736048,888,0.01378758997,888,0.01237858366,888,0.01347856503,888,0.01300291624,888,0.01374777779,
887,0.01257247198,887,0.01299606171,887,0.01174525358,887,0.01187215932,887,0.01240263507,887,0.01210532058,887,0.01327444986,887,0.01274413522,887,0.01223715115,887,0.01064858679,887,0.01114346646,887,0.01150994655,
886,0.0135455383,886,0.01204799023,886,0.01126597263,886,0.01267907023,886,0.01299648825,886,0.01249485835,886,0.01261748001,886,0.01310988702,886,0.01238897163,886,0.01351207681,886,0.01422057766,886,0.01157693565,
885,0.01445698459,885,0.01526072621,885,0.0132116545,885,0.01311308891,885,0.01457419153,885,0.01450050157,885,0.01410819963,885,0.01458709501,885,0.01395612489,885,0.01398545038,885,0.0146020595,885,0.01334854588,
884,0.01383627765,884,0.01258456986,884,0.01308771782,884,0.01195391919,884,0.01329182461,884,0.01260905899,884,0.01316164806,884,0.01243968774,884,0.01239863969,884,0.01182994246,884,0.01240327489,884,0.01169092208,
883,0.01274818648,883,0.01290655881,883,0.01332809869,883,0.01479115803,883,0.01281398162,883,0.01367545594,883,0.01283875015,883,0.01242439728,883,0.01276490092,883,0.01193151623,883,0.01111204922,883,0.01182698924,
882,0.01309740171,882,0.01259549521,882,0.01199181192,882,0.01113026682,882,0.01322603785,882,0.01130531915,882,0.01317989919,882,0.01347819157,882,0.01149458252,882,0.01104130689,882,0.01270647068,882,0.01156803034,
881,0.01455598883,881,0.01415015757,881,0.0144596342,881,0.01431246568,881,0.01430302206,881,0.01313870214,881,0.01318544988,881,0.01436857134,881,0.01414216124,881,0.01393134519,881,0.01402942836,881,0.01461461559,
880,0.01296515018,880,0.01327815931,880,0.01222658157,880,0.01322387625,880,0.01292055938,880,0.0125461733,880,0.01362299267,880,0.01317880582,880,0.01252043527,880,0.01228172518,880,0.01320436876,880,0.0121764224,
879,0.01415031776,879,0.01204413082,879,0.01311669033,879,0.01385028195,879,0.0137395747,879,0.01389745343,879,0.01290079858,879,0.01263634861,879,0.01347533427,879,0.0134817427,879,0.01370350737,879,0.01337724272,
878,0.01504483819,878,0.01466087997,878,0.01357181836,878,0.01437823009,878,0.0147195207,878,0.01408538967,878,0.0145313628,878,0.0136607103,878,0.01452137902,878,0.014338498,878,0.01391643099,878,0.01492841542,
877,0.01413785573,877,0.0139964642,877,0.01394299977,877,0.01403335854,877,0.01369185932,877,0.01376180444,877,0.01468010433,877,0.01428595465,877,0.01444419194,877,0.01324776094,877,0.01476378739,877,0.0139933899,
876,0.01560603827,876,0.01460768189,876,0.01443624403,876,0.01423483528,876,0.01484978944,876,0.01539046131,876,0.01496911235,876,0.01520056557,876,0.01510144025,876,0.01384055428,876,0.01470519416,876,0.01479313988,
875,0.01640360616,875,0.01539284829,875,0.01627856679,875,0.01564409025,875,0.01670861244,875,0.01645156555,875,0.01638839021,875,0.01567586325,875,0.015174428,875,0.01607272774,875,0.01583938859,875,0.01572900452,
874,0.0161637459,874,0.01524801832,874,0.01542500686,874,0.01614870131,874,0.01488056872,874,0.01522536296,874,0.01521994825,874,0.01559401769,874,0.01454477292,874,0.01443292573,874,0.0151265543,874,0.01480580866,
873,0.0151189426,873,0.01398250926,873,0.01489278395,873,0.01421822421,873,0.01478009764,873,0.01528837066,873,0.01512762718,873,0.01433336083,873,0.01506156102,873,0.01446900051,873,0.01432223059,873,0.01431934163,
872,0.01568278857,872,0.01528005861,872,0.01493042428,872,0.01514856052,872,0.01575029083,872,0.01531194057,872,0.01544000022,872,0.01552712917,872,0.01509723254,872,0.01546725351,872,0.01541671902,872,0.01578196511,
871,0.01384469587,871,0.01420827396,871,0.0141167026,871,0.01467381231,871,0.01397494413,871,0.01399838924,871,0.01341058686,871,0.01428766642,871,0.01395732816,871,0.01433526073,871,0.01320154034,871,0.01450976264,
870,0.01508562732,870,0.01588787697,870,0.01512148883,870,0.01612919569,870,0.01507343352,870,0.01552101225,870,0.01539330464,870,0.01650832407,870,0.01612879336,870,0.01577189937,870,0.01504904591,870,0.01611087471,
869,0.01627144404,869,0.01605752483,869,0.01546121761,869,0.01530341338,869,0.01552240737,869,0.01640556753,869,0.01598315313,869,0.01623863168,869,0.01663348451,869,0.01509846561,869,0.01554773375,869,0.01605919003,
868,0.01612479053,868,0.01552836318,868,0.01545279473,868,0.01541360747,868,0.01574859954,868,0.0162106324,868,0.01604020037,868,0.01556401979,868,0.01606577076,868,0.01574360579,868,0.01557781082,868,0.01538024284,
