Baseline 100%T,,sample1,,sample2,,sample3,,sample4,,sample5,,sample6,,sample7,,sample8,,sample9,,sample10,,sample11,,sample12,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.08591970056,900,0.07320580631,900,0.07367964834,900,0.07475935668,900,0.07827336341,900,0.07818815112,900,0.07517936826,900,0.0741302371,900,0.07438997924,900,0.07116769999,900,0.06982608885,900,0.06783869863,900,0.06713023037,
899,0.08631070703,899,0.07541852444,899,0.07695434242,899,0.0780679509,899,0.08278767765,899,0.08112886548,899,0.07714172453,899,0.0753973946,899,0.07412774861,899,0.07213722169,899,0.07178154588,899,0.07102390379,899,0.06862914562,
898,0.08715941757,898,0.07316456735,898,0.07407552749,898,0.07697112113,898,0.08236162364,898,0.07702666521,898,0.07652788609,898,0.07515025139,898,0.07268381864,898,0.07201363891,898,0.07207105309,898,0.0698575899,898,0.06806167215,
897,0.08666786551,897,0.07321092486,897,0.07604454458,897,0.07804861665,897,0.08265126497,897,0.08131328225,897,0.07844062895,897,0.07661107183,897,0.07535594702,897,0.07187393308,897,0.07223894447,897,0.07087955624,897,0.07028573006,
896,0.08806536347,896,0.07227422297,896,0.0737894997,896,0.07636783272,896,0.0820781216,896,0.0789058134,896,0.07521922886,896,0.07501510531,896,0.07425869256,896,0.07137240469,896,0.07120984793,896,0.06870251894,896,0.06844567508,
895,0.08635359257,895,0.07378167659,895,0.07685737312,895,0.07791238278,895,0.08083322644,895,0.08121471107,895,0.07853674144,895,0.07665213943,895,0.07454951853,895,0.07358659804,895,0.07150205225,895,0.07037046552,895,0.06879016012,
894,0.086865969,894,0.07391119003,894,0.07397297025,894,0.07569089532,894,0.08118587732,894,0.07957149297,894,0.07806045562,894,0.07465635985,894,0.07377075404,894,0.07416561246,894,0.07101390511,894,0.06979250163,894,0.06757301837,
893,0.0873214677,893,0.07393110543,893,0.07537208498,893,0.07540592551,893,0.08187212795,893,0.08066924661,893,0.07839594781,893,0.07507205755,893,0.07450796664,893,0.07085008174,893,0.07107131183,893,0.06908080727,893,0.06938713789,
892,0.08544745296,892,0.07469522208,892,0.07587610185,892,0.07752911001,892,0.083367154,892,0.08209626377,892,0.08002945781,892,0.07756729424,892,0.07510246336,892,0.07610999048,892,0.0740981847,892,0.07290577143,892,0.07157792896,
891,0.08496982604,891,0.07669531554,891,0.07679499686,891,0.0791837126,891,0.08473174274,891,0.08452892303,891,0.08139960468,891,0.07880375534,891,0.07623820007,891,0.07559689134,891,0.07477070391,891,0.07339596003,891,0.07227125764,
890,0.08641587198,890,0.07421735674,890,0.07635983825,890,0.07847110927,890,0.08295268565,890,0.08100176603,890,0.07995812595,890,0.07771091908,890,0.07617285848,890,0.07415293157,890,0.07204474509,890,0.07132749259,890,0.07081232965,
889,0.0842936635,889,0.07651010156,889,0.07724676281,889,0.08076728135,889,0.08528672159,889,0.0841710642,889,0.08202121407,889,0.07985722274,889,0.07816202939,889,0.07584567368,889,0.07452274859,889,0.07371452451,889,0.07247880846,
