Baseline 100%T,,sample1,,sample2,,sample3,,sample4,,sample5,,sample6,,sample7,,sample8,,sample9,,sample10,,sample11,,sample12,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.08278511465,900,0.004387916066,900,0.003087522229,900,0.003684246214,900,0.00531842513,900,0.006341016851,900,0.004987085238,900,0.004909008741,900,0.005532099865,900,0.004320065025,900,0.004103849642,900,0.00427949056,900,0.004408626352,
899,0.08711271733,899,0.002229160629,899,0.002673300682,899,0.002910121577,899,0.003886958119,899,0.001739651547,899,0.002581993816,899,0.001267568325,899,0.003094900399,899,0.002578582615,899,0.003885338781,899,0.003404344199,899,0.001163293025,
898,0.08654747158,898,0.002700571669,898,0.003130254103,898,0.003105746116,898,0.002127255313,898,0.002317010192,898,0.003634176683,898,0.002039470011,898,0.001438481384,898,0.001963195857,898,0.003029179992,898,0.004985304549,898,0.004761168268,
897,0.08536331356,897,0.003701137379,897,0.003825688036,897,0.00474536093,897,0.003083611606,897,0.005079973023,897,0.005266594701,897,0.004434698727,897,0.004236253444,897,0.003301067278,897,0.00388113386,897,0.004063687287,897,0.005370366387,
896,0.08644357324,896,0.00236830744,896,0.001778819948,896,0.001448662486,896,0.004612514284,896,0.003190383315,896,0.004831757862,896,0.003758029314,896,0.003635664703,896,0.001948140329,896,0.002757020062,896,0.002468993422,896,0.002747589722,
895,0.08590692282,895,0.002348344773,895,0.001811857335,895,0.002728365129,895,0.003003322287,895,0.00245043193,895,0.001013815636,895,0.003562946105,895,0.003539692378,895,0.00480592344,895,0.00463723857,895,0.001019471907,895,0.003306362312,
894,0.08627410978,894,0.0008674243581,894,0.00214954908,894,0.00214767619,894,0.001442610985,894,0.002433745423,894,0.0007081700023,894,0.001471388969,894,0.002278235508,894,0.002334603108,894,0.002325312002,894,0.002396209864,894,0.0007495793398,
893,0.08597905189,893,0.0005090351333,893,0.00193425524,893,0.002154777991,893,0.002203610493,893,0.002383221406,893,0.003948837984,893,0.001642304356,893,0.002091514878,893,0.001649709884,893,0.003598285839,893,0.001991566271,893,0.002910434268,
892,0.08686970174,892,0.001140971901,892,0.0001672296639,892,0.001005694387,892,0.002100670943,892,0.002686714521,892,0.002039548242,892,0.001859741285,892,0.001298879157,892,0.001510585309,892,0.001231093775,892,0.001674109953,892,-0.0008408418507,
891,0.08675573021,891,0.001621387666,891,0.001681542024,891,0.001164305257,891,0.001314353663,891,0.001194622251,891,0.002688329434,891,0.001946398173,891,0.002252578503,891,0.00276163104,891,0.001737208455,891,0.0005447493168,891,0.001542069484,
890,0.08607766777,890,0.002588165458,890,0.001540666679,890,0.003721162211,890,0.00197328534,890,0.002216853667,890,0.002338611055,890,0.002372107469,890,0.001645188662,890,0.001389838872,890,0.001971282996,890,0.001643967349,890,0.002498933114,
889,0.0865252018,889,0.000314473029,889,0.001159010339,889,0.001956721069,889,0.001970606856,889,0.002136698226,889,0.002377208788,889,0.002098173834,889,0.003044038545,889,0.001592235989,889,0.002746287268,889,0.001288026571,889,0.0007242198917,
888,0.08666903526,888,0.00262048305,888,0.001489259303,888,0.001588754589,888,0.002660147846,888,0.002767284168,888,0.001773855533,888,0.002840364585,888,0.003341916017,888,0.003309388179,888,0.003263743594,888,0.001909424551,888,0.000982162077,
887,0.08678019792,887,0.001262505888,887,0.0008995623793,887,0.001525755622,887,0.00176397874,887,0.001025751117,887,0.001650021644,887,0.001861509052,887,0.003063720418,887,0.001543965889,887,0.002821735106,887,0.001474064309,887,0.002020692918,
886,0.08671954274,886,0.0008822869277,886,0.001271099085,886,0.00301471306,886,0.002375464886,886,0.00290623866,886,0.001702799462,886,0.00143245596,886,0.001676994492,886,0.003217999358,886,0.001179152052,886,0.003013826907,886,0.002487685997,
885,0.08764278144,885,0.000573312398,885,0.0009783481946,885,0.000613983022,885,0.001461207401,885,0.001205680193,885,0.001489908667,885,0.002073177602,885,0.001141361194,885,0.001163422712,885,0.001924686832,885,0.000148999301,885,0.001352626947,
884,0.08751515299,884,0.0005713683786,884,0.0007968535647,884,0.002562255599,884,0.001289869891,884,0.002999203978,884,0.002686896827,884,0.002126032719,884,0.001655010739,884,0.00184245361,884,0.001258300152,884,0.001926766825,884,0.000957619166,
883,0.08864281327,883,-9.577702258E-6,883,-0.0003372149949,883,0.0008220098098,883,0.001002425211,883,0.001510143629,883,0.0018139889,883,0.001637861133,883,0.001706099836,883,0.001920916722,883,0.0006865204778,883,0.000923271873,883,0.0001241927384,
882,0.08711837977,882,0.002029613359,882,0.002733053872,882,0.002707943087,882,0.00349715515,882,0.003366541816,882,0.003149653086,882,0.001959997462,882,0.003307327395,882,0.002722087316,882,0.003073731204,882,0.002248259028,882,0.002883906011,
881,0.08877922595,881,0.0004416060983,881,0.001937193447,881,0.001732686302,881,0.002081058687,881,0.002914942801,881,0.002599362982,881,0.002980228746,881,0.002418777673,881,0.00223077368,881,0.002363986801,881,0.002309228992,881,0.001940105576,
880,0.08834988624,880,0.001684088726,880,0.001771152369,880,0.002147832187,880,0.002301864093,880,0.00311242044,880,0.002518199617,880,0.002963104984,880,0.003070915584,880,0.003553602844,880,0.003044012468,880,0.002424139995,880,0.00266981055,
879,0.09004691988,879,0.0007978390204,879,0.0011807353,879,0.001730243326,879,0.002254243707,879,0.002163883299,879,0.002359171864,879,0.00243561971,879,0.002023241483,879,0.002505910583,879,0.001740665059,879,0.001329984516,879,0.0003233584284,
878,0.09020724893,878,0.0008677615551,878,0.001309758052,878,0.001643135911,878,0.001816458302,878,0.002308604307,878,0.002375204815,878,0.002252916805,878,0.001778949983,878,0.002398838755,878,0.002457851311,878,0.001586650149,878,0.001453207689,
877,0.08925533295,877,0.001653269748,877,0.002825773554,877,0.00237361691,877,0.002797348658,877,0.005241991952,877,0.003511298914,877,0.003434557002,877,0.004907464143,877,0.003341524629,877,0.002555120969,877,0.003749282332,877,0.002133498667,
876,0.08996414393,876,0.001736480743,876,0.002077026991,876,0.002610300435,876,0.002600040054,876,0.003074930282,876,0.003010099288,876,0.002857665997,876,0.002832521917,876,0.002910877345,876,0.002697654301,876,0.003360933159,876,0.002477480564,
875,0.08991682529,875,0.001710751676,875,0.002668404253,875,0.002257834654,875,0.002629884519,875,0.002054086654,875,0.00215667719,875,0.002124419902,875,0.002992687514,875,0.003196798265,875,0.00232323003,875,0.00242122449,875,0.002256091218,
874,0.08885233104,874,0.002083009342,874,0.003015859984,874,0.00259082159,874,0.003998864908,874,0.003383029485,874,0.003870007582,874,0.003011871828,874,0.004328144249,874,0.002988439053,874,0.003351568012,874,0.003081161063,874,0.003144516377,
873,0.08818218112,873,0.002656944329,873,0.002157197567,873,0.002705129795,873,0.003106736811,873,0.00401386153,873,0.003615147667,873,0.004778101109,873,0.004198038485,873,0.003011663212,873,0.004040981177,873,0.003540188307,873,0.002711511683,
872,0.08717602491,872,0.0031605002,872,0.00255361083,872,0.003142482601,872,0.00341185811,872,0.004499376751,872,0.003980368841,872,0.00394311687,872,0.003988205921,872,0.003832895774,872,0.004869007505,872,0.002946815686,872,0.003721110057,
871,0.08732488751,871,0.002983200131,871,0.001868762309,871,0.00263829669,871,0.00283080223,871,0.003553263377,871,0.003605281236,871,0.003005694132,871,0.002931725932,871,0.00301093352,871,0.00303919008,871,0.004200051073,871,0.003393543186,
