sample1,,sample2,,sample3,,sample4,,sample5,,sample6,,sample7,,sample8,,sample9,,sample10,,sample11,,sample12,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.006681777071,900,0.004049106967,900,0.004914663732,900,0.005088720936,900,0.006259624381,900,0.006658355705,900,0.006438109558,900,0.005165205803,900,0.006373588927,900,0.005170994904,900,0.003693435807,900,0.005283626262,
899,0.004134451039,899,0.002660903148,899,0.003367037512,899,0.004182644188,899,0.004016526043,899,0.003513699863,899,0.003895107424,899,0.003428190714,899,0.003481393913,899,0.002961332677,899,0.001812559203,899,0.002715418814,
898,0.003603349673,898,0.003386394819,898,0.004291646648,898,0.004710477311,898,0.004339046776,898,0.00548270857,898,0.004865420982,898,0.004628159571,898,0.004357636906,898,0.002207565121,898,0.002944444073,898,0.004102673847,
897,0.00578617258,897,0.004552659113,897,0.005141577683,897,0.005353619345,897,0.004259439651,897,0.004398166668,897,0.004387131892,897,0.005187813193,897,0.00489301281,897,0.004300770815,897,0.005484255031,897,0.004316038918,
896,0.00312311016,896,0.003351959167,896,0.003845405299,896,0.003479253966,896,0.003168062074,896,0.00364211225,896,0.004917412996,896,0.004547165707,896,0.004450651817,896,0.002323203953,896,0.002950959606,896,0.004491425585,
895,0.002231502207,895,0.0008649083902,895,0.004126428161,895,0.002678900724,895,0.0003993710852,895,0.00267947372,895,0.002292365767,895,0.003663961776,895,0.003465006826,895,0.00258066575,895,0.00337781175,895,0.002764444565,
894,0.002156911185,894,0.003355063498,894,0.00317437225,894,0.00246550492,894,0.002510284539,894,0.004378554877,894,0.004789512604,894,0.002160189208,894,0.002993964823,894,0.00312519609,894,0.002793596825,894,0.002388427034,
893,0.004179063253,893,0.004178723786,893,0.003806493944,893,0.003659419483,893,0.003123475239,893,0.004022117238,893,0.004163068254,893,0.005278830882,893,0.004249218851,893,0.002717007883,893,0.004199110437,893,0.00364558422,
892,0.004552894272,892,0.003638483817,892,0.003442540998,892,0.002761735348,892,0.00337679428,892,0.004057546612,892,0.003619611263,892,0.005035792012,892,0.003761476139,892,0.004965326283,892,0.003539457452,892,0.00502728112,
891,0.00297360844,891,0.00288302009,891,0.004324483685,891,0.003796309698,891,0.00203941809,891,0.003495302284,891,0.003886357415,891,0.00277530821,891,0.003133956576,891,0.003940478899,891,0.002579728374,891,0.0008891088655,
890,0.00155734492,890,0.00203504879,890,0.0004556248605,890,0.003830310423,890,0.001708854572,890,0.00247794902,890,0.003434765851,890,0.001527989632,890,0.002719300101,890,0.001876249793,890,0.001198879327,890,0.001840789802,
889,0.005316197407,889,0.006623659749,889,0.004588680808,889,0.005259520374,889,0.005466822535,889,0.006432933733,889,0.005330688786,889,0.00634356495,889,0.004992191214,889,0.005549299065,889,0.006294107065,889,0.004192471504,
888,0.00420080917,888,0.002688746201,888,0.004199005663,888,0.004669185728,888,0.004098492675,888,0.004286522977,888,0.00316608022,888,0.004343439359,888,0.005430963356,888,0.003314291826,888,0.003977338318,888,0.002568088472,
887,0.003933425993,887,0.004032908008,887,0.004760461394,887,0.003665319411,887,0.004461583681,887,0.003345776815,887,0.00476682093,887,0.004446938168,887,0.003697482403,887,0.003805841086,887,0.004229770508,887,0.003352089552,
886,0.00547736045,886,0.004811864812,886,0.005956616718,886,0.006034120452,886,0.005551134702,886,0.005398069043,886,0.005587055814,886,0.006001915317,886,0.005335851572,886,0.005276211072,886,0.005047864746,886,0.00464325631,
885,0.004789800383,885,0.004217406735,885,0.002604831709,885,0.00399280386,885,0.004437130876,885,0.004858274478,885,0.005355794914,885,0.003284896025,885,0.004214008804,885,0.004487528466,885,0.003908846062,885,0.002953357296,
884,0.003643521806,884,0.005096525885,884,0.005217678845,884,0.005497152917,884,0.004621540196,884,0.005415997002,884,0.004051928874,884,0.004495715257,884,0.005027411971,884,0.003585600993,884,0.005173483398,884,0.0036458713,
883,0.005093670916,883,0.004909977317,883,0.003724843729,883,0.005188206211,883,0.004817309324,883,0.005311192479,883,0.00494351564,883,0.005459980574,883,0.005269896239,883,0.004755227361,883,0.004398558754,883,0.005316223484,
882,0.005143542308,882,0.004787156824,882,0.005263607483,882,0.005590071436,882,0.005563536193,882,0.0060156947,882,0.005502763204,882,0.006789857987,882,0.006401776336,882,0.005562618375,882,0.005510261282,882,0.005066013895,
881,0.005272411741,881,0.004328745417,881,0.004947495647,881,0.004361637402,881,0.005807500798,881,0.005028276239,881,0.005090370774,881,0.005248699337,881,0.005161590409,881,0.004019400105,881,0.004536597524,881,0.003952729981,
880,0.004475340713,880,0.004279281478,880,0.004377587698,880,0.004680960439,880,0.004876991734,880,0.00392310787,880,0.004635773133,880,0.004913459532,880,0.004828197882,880,0.005214168224,880,0.004557472188,880,0.00389565574,
879,0.004762685858,879,0.004126036074,879,0.004440504592,879,0.004041295033,879,0.005008138716,879,0.004390426446,879,0.004200024996,879,0.005107867066,879,0.00439800974,879,0.00448245462,879,0.004165708087,879,0.003575839335,
878,0.00442672288,878,0.004355676007,878,0.003433852457,878,0.004380568396,878,0.004837071523,878,0.004551743157,878,0.004493099637,878,0.004775327165,878,0.004485697486,878,0.004127394874,878,0.003423076821,878,0.003587636631,
877,0.004691636655,877,0.004085662309,877,0.005271703936,877,0.004085374996,877,0.00470362138,877,0.003916656133,877,0.004905945621,877,0.00431514997,877,0.004968206398,877,0.004346890375,877,0.004098100588,877,0.003518501529,
876,0.005135003012,876,0.004241611809,876,0.00493733678,876,0.004873012658,876,0.005035268143,876,0.006149548572,876,0.006347268354,876,0.005603837781,876,0.005665726494,876,0.004800531548,876,0.00487563014,876,0.004898170475,
875,0.004592081998,875,0.004827622324,875,0.004819586407,875,0.005102209747,875,0.005318791606,875,0.005797295365,875,0.005467844661,875,0.005848559551,875,0.0053038029,875,0.004685330205,875,0.005628697108,875,0.004193516914,
874,0.004612331279,874,0.003851594869,874,0.00409279624,874,0.005041527096,874,0.005740686785,874,0.004164923914,874,0.004898903426,874,0.004726571031,874,0.004801500123,874,0.005010259803,874,0.004871441983,874,0.004176894203,
873,0.004726388026,873,0.004686010536,873,0.004818513058,873,0.004531837068,873,0.005575466435,873,0.004453214817,873,0.004879007116,873,0.004935687408,873,0.004955742974,873,0.005006776657,873,0.005182809196,873,0.005303855054,
872,0.004531967919,872,0.004938043654,872,0.004904820118,872,0.004943018313,872,0.005125939846,872,0.005539807957,872,0.005257607438,872,0.005107840989,872,0.004699198995,872,0.005374270957,872,0.004425886087,872,0.004845840391,
871,0.004636139609,871,0.004217563663,871,0.004475654569,871,0.003881630022,871,0.004174071364,871,0.00519878976,871,0.004850238096,871,0.004659818485,871,0.005315123126,871,0.004421361722,871,0.003936612513,871,0.004088144749,
870,0.004130165093,870,0.004504843149,870,0.003494728124,870,0.004801683128,870,0.004664894659,870,0.004184787162,870,0.003974804189,870,0.004384987522,870,0.004381928127,870,0.004972029012,870,0.004116497468,870,0.003812134499,
869,0.004933199845,869,0.004919009749,869,0.005481292959,869,0.006533883512,869,0.005840557162,869,0.005699323025,869,0.005868316162,869,0.006440973375,869,0.005880386103,869,0.00601887051,869,0.005720410962,869,0.005287976004,
868,0.0050850017,868,0.004933645017,868,0.004957811441,868,0.005609003827,868,0.006091135088,868,0.00592827471,868,0.006121693179,868,0.006096936762,868,0.006740322802,868,0.006141987164,868,0.005392774474,868,0.005418250803,
867,0.004694854841,867,0.005071592517,867,0.005049959756,867,0.005049776752,867,0.005567941349,867,0.006407581735,867,0.005792363547,867,0.005736856721,867,0.00542068854,867,0.005247913301,867,0.005628933199,867,0.004966949578,
866,0.004917674698,866,0.005269843619,866,0.005060278345,866,0.005935989786,866,0.006152804475,866,0.005452614743,866,0.006208653096,866,0.006086672191,866,0.005662579555,866,0.005649938714,866,0.005581497215,866,0.005819883198,
865,0.004860865884,865,0.004960455932,865,0.005205889232,865,0.005616267212,865,0.005413271021,865,0.005542036612,865,0.004955219571,865,0.005006358027,865,0.005951289088,865,0.005878916476,865,0.005723164883,865,0.004727774765,
864,0.004999601748,864,0.004568642005,864,0.004699957557,864,0.004869347438,864,0.005106033757,864,0.005823897198,864,0.005432850681,864,0.005365098361,864,0.005976509303,864,0.005590884481,864,0.005366173107,864,0.00481780665,
863,0.005182861816,863,0.005489393137,863,0.005566263106,863,0.006179349497,863,0.006143877748,863,0.00658646971,863,0.006234019529,863,0.006413571537,863,0.005980892573,863,0.005969371181,863,0.006651390344,863,0.005868342705,
862,0.005264131818,862,0.004894060083,862,0.005154517945,862,0.005913001951,862,0.00572657492,862,0.006190088578,862,0.006391504779,862,0.006273753475,862,0.00631067995,862,0.005543033127,862,0.005994408857,862,0.006054673344,
861,0.005495134275,861,0.005308991298,861,0.005303016864,861,0.005305008031,861,0.005540437531,861,0.006692897063,861,0.005949976854,861,0.006182920188,861,0.005660743453,861,0.005586505402,861,0.005832607858,861,0.00575409038,
860,0.005063604563,860,0.005013532937,860,0.005500168074,860,0.006019342691,860,0.006143536419,860,0.006522715557,860,0.006450615358,860,0.006004355848,860,0.006468403153,860,0.006230711006,860,0.006685851607,860,0.005746063776,
859,0.005059309304,859,0.005263057537,859,0.005113812629,859,0.005484831985,859,0.006179401651,859,0.006541951094,859,0.005939899944,859,0.006009237841,859,0.006461939309,859,0.006597192958,859,0.006111034192,859,0.005337712355,
858,0.004458079115,858,0.005390625447,858,0.005633548368,858,0.005259572528,858,0.005733237136,858,0.006734827999,858,0.005873800255,858,0.005836989265,858,0.005789058283,858,0.005581838079,858,0.005861572921,858,0.005759310443,
857,0.005944518372,857,0.005849215202,857,0.005900485441,857,0.006390742958,857,0.006929263938,857,0.006955093704,857,0.007387770806,857,0.007438827772,857,0.007218527608,857,0.006949096452,857,0.006431672722,857,0.00651945686,
856,0.00542658614,856,0.005537054967,856,0.005670420825,856,0.006286911201,856,0.006399070378,856,0.00657096412,856,0.007357676513,856,0.007399961818,856,0.007260904647,856,0.007069346029,856,0.0069790571,856,0.006740638521,
855,0.005217940547,855,0.005548879504,855,0.00570965698,855,0.00604477711,855,0.006472527981,855,0.006780208088,855,0.007225844543,855,0.00682127988,855,0.00630582124,855,0.006786860526,855,0.00650721183,855,0.00672604749,
854,0.005547804758,854,0.005419980735,854,0.005510628223,854,0.006149679888,854,0.006580083631,854,0.007222949527,854,0.006771636661,854,0.00662836479,854,0.007150443736,854,0.007312525995,854,0.007250612602,854,0.006478939205,
853,0.006960643455,853,0.006217003334,853,0.006359771825,853,0.007261615247,853,0.007535797544,853,0.007925026119,853,0.008128171787,853,0.008161009289,853,0.007696337067,853,0.007747536059,853,0.007922072895,853,0.007954816334,
852,0.005797033198,852,0.00541054504,852,0.005970394704,852,0.006624001544,852,0.007088106126,852,0.007529950235,852,0.007547650021,852,0.007716758177,852,0.007770172786,852,0.007506851573,852,0.007180971093,852,0.007326873485,
