Baseline 100%T,,sample1,,sample2,,sample3,,sample4,,sample5,,sample6,,sample7,,sample8,,sample9,,sample10,,sample11,,sample12,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.08018749952,900,0.005887286738,900,0.00549442647,900,0.004955612123,900,0.00470822677,900,0.005151688587,900,0.00607934827,900,0.005640681367,900,0.006039501168,900,0.008372261189,900,0.008070598356,900,0.008051242679,900,0.007943295874,
899,0.08394827694,899,0.001951702638,899,0.001319858246,899,0.002370493719,899,0.002796462737,899,0.002526375232,899,0.004682765808,899,0.0047670044,899,0.00741791958,899,0.005369186867,899,0.007126497105,899,0.008606957272,899,0.006605761126,
898,0.08248049021,898,0.003844647901,898,0.005171492696,898,0.004764727317,898,0.002244798234,898,0.005784021225,898,0.006065697875,898,0.006628522184,898,0.007683690172,898,0.007111471612,898,0.009219462052,898,0.007216211408,898,0.009484538808,
897,0.08253987134,897,0.004007930867,897,0.002475788351,897,0.002503697528,897,0.003082203912,897,0.005161197856,897,0.004482977558,897,0.006358274724,897,0.005501635838,897,0.006509970874,897,0.005924338475,897,0.007558475714,897,0.008332124911,
896,0.08361879736,896,0.003295485629,896,0.002009718213,896,0.001480843523,896,0.002863685135,896,0.005424777512,896,0.004373586737,896,0.005112529267,896,0.004189988598,896,0.005999290384,896,0.006891706027,896,0.005933575332,896,0.00794611685,
895,0.08237858862,895,0.004446467385,895,0.003720692359,895,0.002664575586,895,0.003734112484,895,0.005442653783,895,0.005706536118,895,0.004782001022,895,0.006289589684,895,0.008773149922,895,0.008909812197,895,0.007921440527,895,0.006455843803,
894,0.08349230886,894,0.003000846133,894,0.001212117844,894,0.001897932612,894,0.002056609606,894,0.003716540989,894,0.004871991463,894,0.004615182988,894,0.006510785781,894,0.00664768368,894,0.005530631635,894,0.005655472167,894,0.005855144933,
893,0.08284747601,893,0.003650883213,893,0.003505583853,893,0.001933683176,893,0.002444913145,893,0.00382054341,893,0.004893039353,893,0.005776413716,893,0.005996613298,893,0.006461939309,893,0.007424344774,893,0.006754178554,893,0.006341279484,
892,0.08422929049,892,0.002541737398,892,0.001409861376,892,0.0001116346393,892,0.002637983998,892,0.002361904597,892,0.001677748049,892,0.003359289607,892,0.004303385038,892,0.006490552798,892,0.003982275724,892,0.004756561946,892,0.005241205916,
891,0.08308775723,891,0.002070446499,891,0.002158732386,891,0.003151869401,891,0.002437077463,891,0.003475705395,891,0.00376481819,891,0.004995936062,891,0.00528674433,891,0.006099850871,891,0.006237801164,891,0.006946018897,891,0.006192215253,
890,0.08323233575,890,0.001879551448,890,0.001825790503,890,0.002347563859,890,0.002627540613,890,0.002841849811,890,0.003671271494,890,0.005435052328,890,0.005783470348,890,0.00720481528,890,0.005541590974,890,0.00732505694,890,0.005262716673,
889,0.08214560896,889,0.002279172186,889,0.003110334743,889,0.0035477567,889,0.003808400361,889,0.003624936333,889,0.00552116707,889,0.006911194418,889,0.00608050311,889,0.006556062959,889,0.006772793364,889,0.007073450834,889,0.007362889592,
888,0.08288372308,888,0.0028534187,888,0.002261009067,888,0.002063163789,888,0.002904649125,888,0.001252536778,888,0.004174594302,888,0.005149069242,888,0.006610623095,888,0.007190261036,888,0.006047822069,888,0.007430875208,888,0.006179401651,
887,0.08313123137,887,0.001433468889,887,0.001168250456,887,0.002256559674,887,0.002846279414,887,0.003277097363,887,0.004301973619,887,0.00627094321,887,0.007083659526,887,0.005884505343,887,0.005577065982,887,0.006983897183,887,0.007125813048,
886,0.08298000693,886,0.00268788659,886,0.003034054767,886,0.002643869957,886,0.003586331615,886,0.003458561841,886,0.005121644121,886,0.004787994549,886,0.00647018943,886,0.006734696683,886,0.007601518184,886,0.006029343233,886,0.00642618211,
885,0.08320446312,885,0.003523825202,885,0.002341682091,885,0.001338449307,885,0.00167579914,885,0.004200600088,885,0.004453606904,885,0.005062478129,885,0.006307475735,885,0.006143825129,885,0.006900542881,885,0.006581739057,885,0.006611516699,
884,0.08385042846,884,0.002710052999,884,0.001978902146,884,0.002515361644,884,0.00248250505,884,0.002970246365,884,0.003908480518,884,0.0064196405,884,0.006694342941,884,0.007052139379,884,0.00690606609,884,0.005938955117,884,0.006343013141,
883,0.08419176936,883,0.0037807466,883,0.001589222229,883,0.001446091221,883,0.002972904826,883,0.002578582615,883,0.004604168702,883,0.00578593649,883,0.005699086934,883,0.005783182103,883,0.007199419662,883,0.007341853343,883,0.007343933452,
882,0.0849667713,882,0.002452957211,882,0.001620322466,882,0.0007825125358,882,0.002508358099,882,0.00337697682,882,0.00472390186,882,0.004986011889,882,0.00645684218,882,0.00549859507,882,0.006242055446,882,0.0054889475,882,0.006841607392,
881,0.08416896313,881,0.00288604293,881,0.003107414581,881,0.003498746781,881,0.004154914059,881,0.004660786595,881,0.005874639843,881,0.005887916777,881,0.007605627645,881,0.007398592774,881,0.008413642645,881,0.008572554216,881,0.007534269709,
880,0.08702041954,880,0.001086705364,880,0.001701500034,880,0.0007188525633,880,0.001666548196,880,0.00254223193,880,0.003017919138,880,0.004685591906,880,0.004687737674,880,0.005811409559,880,0.006530257408,880,0.005396942142,880,0.006009815261,
879,0.08714976907,879,0.001784070511,879,0.001413211576,879,0.001222838764,879,0.002026674571,879,0.002139663789,879,0.003898946801,879,0.005361088552,879,0.005618417636,879,0.006560583133,879,0.00640534889,879,0.005932132248,879,0.005561307538,
878,0.08686865866,878,0.002499349648,878,0.002914187033,878,0.001858285512,878,0.001132017816,878,0.003098941408,878,0.004256747197,878,0.005480794702,878,0.005379643757,878,0.007100578398,878,0.006785861216,878,0.006706908811,878,0.007162101567,
877,0.0876230821,877,0.0020650886,877,0.001272085705,877,0.002006987575,877,0.002663038904,877,0.002959638601,877,0.004568825476,877,0.005171125755,877,0.005230909213,877,0.005932184402,877,0.007762793917,877,0.006840975955,877,0.00672594225,
876,0.08697401732,876,0.002515543951,876,0.002819780959,876,0.002727140673,876,0.002151812427,876,0.004467416089,876,0.005224647466,876,0.005903476849,876,0.0065254746,876,0.007662638556,876,0.006805213634,876,0.007484965958,876,0.00765815936,
875,0.08802259713,875,0.001227770932,875,0.0003681250091,875,0.001843285514,875,0.001783888554,875,0.00317411148,875,0.004224150907,875,0.00416481914,875,0.004985383246,875,0.00525810523,875,0.006077746861,875,0.006084073335,875,0.006217765156,
874,0.08652599156,874,0.001971621066,874,0.00241562794,874,0.002008235781,874,0.001868606429,874,0.004026793875,874,0.004375940189,874,0.005542875733,874,0.006792881526,874,0.006938180421,874,0.007374895737,874,0.006948359776,874,0.007448018063,
873,0.08596024662,873,0.002186959377,873,0.002032161923,873,0.002396053635,873,0.002826633397,873,0.003521137172,873,0.004412889015,873,0.006280739326,873,0.008173274808,873,0.007019990124,873,0.007110130042,873,0.007216843311,873,0.007369419094,
872,0.08574145287,872,0.001713792328,872,0.001399499364,872,0.001765434165,872,0.002283257665,872,0.004087726586,872,0.004442021251,872,0.005146790296,872,0.005902715959,872,0.006623607129,872,0.007000417449,872,0.007109550759,872,0.007010703441,
871,0.08432867378,871,0.002626811387,871,0.003157110419,871,0.002129050205,871,0.003433069913,871,0.003639841219,871,0.004762084223,871,0.007149022538,871,0.007177496795,871,0.00707663456,871,0.007705348544,871,0.008378357626,871,0.007654312998,
870,0.08429224789,870,0.00229556649,870,0.001880565425,870,0.002628452145,870,0.002983174054,870,0.003206837922,870,0.004835291766,870,0.005894476548,870,0.006633016746,870,0.007829102688,870,0.007334297523,870,0.007586108055,870,0.006990894675,
869,0.08411623538,869,0.001906408463,869,0.002045347821,869,0.001839958015,869,0.001858077478,869,0.003713669255,869,0.004683341365,869,0.005831610877,869,0.006210622378,869,0.007341221441,869,0.007063820958,869,0.00696387887,869,0.007164338604,
868,0.08305215091,868,0.002352118492,868,0.002709974768,868,0.00188176136,868,0.00246797828,868,0.003590064123,868,0.005857663695,868,0.006777447183,868,0.008216457441,868,0.007644222584,868,0.007510854863,868,0.00734435441,868,0.007419947535,
867,0.08210583031,867,0.002268190961,867,0.001862107078,867,0.002059210557,867,0.002609753748,867,0.004678265192,867,0.005509317387,867,0.007064768113,867,0.007371393964,867,0.007120865863,867,0.00844093319,867,0.007601623423,867,0.007950467058,
866,0.08120319992,866,0.002713595517,866,0.002963443752,866,0.00394249009,866,0.003628068604,866,0.005078427959,866,0.00572867319,866,0.006596351974,866,0.007841200568,866,0.008509537205,866,0.008416361175,866,0.008494410664,866,0.008573108353,
865,0.08125591278,865,0.002019782551,865,0.002821005648,865,0.002002618508,865,0.003382116323,865,0.004473221954,865,0.004867279436,865,0.006495703012,865,0.007514621131,865,0.007548492867,865,0.008793066256,865,0.008504072204,865,0.007785326336,
864,0.08075901866,864,0.002776688896,864,0.002684057923,864,0.001843519392,864,0.002537362976,864,0.004352799617,864,0.00518474821,864,0.006536511704,864,0.007915271446,864,0.008217037655,864,0.00828383863,864,0.008910446428,864,0.00878857635,
863,0.08039790392,863,0.003162533976,863,0.00298445113,863,0.002332833363,863,0.003587036394,863,0.005344525911,863,0.005774026737,863,0.00690914318,863,0.007286648732,863,0.0081152739,863,0.008594969288,863,0.008635369129,863,0.008067144081,
862,0.07943377644,862,0.00343132182,862,0.003168479307,862,0.003196094185,862,0.004113152623,862,0.005309017375,862,0.006944598164,862,0.008435575292,862,0.008522287011,862,0.009065812454,862,0.0100771673,862,0.008815441281,862,0.00888056308,
