sample13,,sample14,,sample15,,sample16,,sample17,,sample18,,sample19,,sample20,,sample21,,sample22,,sample23,,sample24,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.003790486371,900,0.004812414758,900,0.005001199432,900,0.005255249329,900,0.004799013492,900,0.003627546597,900,0.004654925317,900,0.004955166951,900,0.005132619292,900,0.003503913758,900,0.003543685423,900,0.005387427751,
899,0.005809966475,899,0.004936577287,899,0.005937878974,899,0.003977991175,899,0.005701840855,899,0.005136129446,899,0.004583082628,899,0.005803486798,899,0.00663706474,899,0.004399343394,899,0.003633341519,899,0.005265232176,
898,0.00439390447,898,0.004798228387,898,0.006017295644,898,0.004104084801,898,0.003946643323,898,0.005812249146,898,0.00471021561,898,0.004212074913,898,0.004571284167,898,0.003990452737,898,0.004579681903,898,0.005159992725,
897,0.005105247721,897,0.004436189774,897,0.005626599304,897,0.005028354935,897,0.004653617274,897,0.003144959686,897,0.00331914355,897,0.003083194606,897,0.005638504867,897,0.004122377373,897,0.002428851556,897,0.005413506646,
896,0.005358258262,896,0.005814951379,896,0.004373351578,896,0.004816079047,896,0.005592484027,896,0.004108631983,896,0.004760618322,896,0.003612798639,896,0.004543477204,896,0.004030948505,896,0.002850109711,896,0.004286522977,
895,0.005711414386,895,0.004579394124,895,0.004633470904,895,0.00598884467,895,0.004916732199,895,0.005189908668,895,0.004398035817,895,0.004126402084,895,0.004241272341,895,0.004757242277,895,0.005724607501,895,0.006667214446,
894,0.005486876704,894,0.005847011227,894,0.002892870223,894,0.004326915368,894,0.003666154807,894,0.004262262955,894,0.003942751326,894,0.004420080222,894,0.004537173081,894,0.00404200051,894,0.00362357893,894,0.004748789128,
893,0.003569497028,893,0.003658297006,893,0.004714925773,893,0.00574365072,893,0.005309777334,893,0.004651498049,893,0.003384464188,893,0.005377259105,893,0.005101868883,893,0.004562180955,893,0.004357218742,893,0.005044800695,
892,0.003938127775,892,0.003650596133,892,0.003456970211,892,0.003672628896,892,0.0030663535,892,0.004092691466,892,0.003732885234,892,0.004940949846,892,0.002035568934,892,0.002877756255,892,0.003404265968,892,0.003313613823,
891,0.004062667955,891,0.003356680973,891,0.003831459442,891,0.006387511734,891,0.005384676158,891,0.003545407904,891,0.003621960524,891,0.003188010305,891,0.005321176257,891,0.004203762859,891,0.002697029151,891,0.003425920848,
890,0.004548185971,890,0.003076859517,890,0.004192706663,890,0.004845238291,890,0.005312895868,890,0.004355832934,890,0.004630069714,890,0.004946029279,890,0.004415007308,890,0.004472385161,890,0.005297801923,890,0.005099013913,
889,0.006039055064,889,0.005065699574,889,0.004448376596,889,0.005265389569,889,0.004809509031,889,0.004175325856,889,0.005832004361,889,0.003533794312,889,0.006225144025,889,0.004647363909,889,0.003839424811,889,0.005243354477,
