sample1,,sample2,,sample3,,sample4,,sample5,,sample6,,sample7,,sample8,,sample9,,sample10,,sample11,,sample12,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.003671532497,900,0.002243471332,900,0.005077668466,900,0.003547704546,900,0.004685408901,900,0.002301968401,900,0.002905378817,900,0.005398069043,900,0.00283395499,900,0.005355296656,900,0.004046807997,900,0.002351832343,
899,0.002761162119,899,0.002625483321,899,0.001778014237,899,0.001325025223,899,0.002544992138,899,0.002266031224,899,0.001395941596,899,0.002808186924,899,0.00279101776,899,0.002706562635,899,0.001178606879,899,0.0005967189209,
898,0.003016198752,898,0.002597800456,898,0.002585951937,898,0.002590014366,898,0.001885557082,898,0.00173211447,898,0.002835674677,898,0.004058356863,898,0.00407774467,898,0.002517262474,898,0.001604603138,898,0.002289425116,
897,0.002836482367,897,0.003155337414,897,0.003397430526,897,0.005604519509,897,0.001578388386,897,0.004499899689,897,0.001672680723,897,0.004577144049,897,0.003364350414,897,0.004166178405,897,0.004852123093,897,0.00329655502,
896,0.003548174165,896,0.002038559876,896,0.002134044887,896,0.001351484447,896,0.0008253813721,896,0.0019325912,896,0.00155147363,896,0.001024687313,896,0.0006392064388,896,0.002761917654,896,0.003484525019,896,0.002538248198,
895,0.002582748886,895,0.001109049539,895,0.001471726689,895,0.0006363547873,895,0.002127047163,895,0.002388271037,895,0.003894271562,895,0.001639705966,895,0.0004967250861,895,0.00016337118,895,0.001549681183,895,0.000295511185,
894,0.003694349434,894,0.004498618189,894,0.004494145513,894,0.002568088472,894,0.002571213292,894,0.002463526558,894,0.003055013483,894,0.001617802074,894,0.002835101448,894,0.003070550738,894,0.001836266601,894,0.003532672068,
893,0.003506888635,893,0.00340413535,893,0.00194192573,893,0.00221138983,893,0.002826946089,893,0.001526768669,893,0.001576361828,893,0.001434689504,893,0.003141752677,893,0.001555760158,893,0.002033410361,893,0.000733113673,
892,0.004007486627,892,0.00341603253,892,0.003767612157,892,0.002517548855,892,0.00245889253,892,0.003121858696,892,0.002110659378,892,0.001937973429,892,0.001968994737,892,0.001818329911,892,0.001982438844,892,0.002418621443,
891,0.003782026004,891,0.002599962056,891,0.002743760357,891,0.003063146956,891,0.004128126893,891,0.002794170054,891,0.002398135839,891,0.002230851678,891,0.001612501685,891,0.003742049681,891,0.001849342603,891,0.001966992393,
890,0.002126162872,890,0.002193437656,890,0.002113754861,890,0.002646266017,890,0.0007484384114,890,0.001274344395,890,0.002286302391,890,0.001913428539,890,0.0003049660882,890,0.001963351853,890,0.002326899674,890,0.001728735864,
889,0.003225797089,889,0.002324765548,889,0.000328513619,889,0.002265614923,889,0.001509831985,889,0.001607695012,889,0.002507342491,889,0.001885037171,889,0.002324166941,889,0.00278103957,889,0.001366259647,889,0.00220030616,
888,0.0002729756525,888,0.0007577735232,888,0.001882879296,888,0.0003786178422,888,-0.0002521596616,888,0.0006953876,888,0.0001818870078,888,0.001504351036,888,0.001441260451,888,0.0004637098464,888,0.0004991352325,888,0.001144942944,
887,0.002644651337,887,0.00197840808,887,0.001725695212,887,0.002000642242,887,0.001646799617,887,0.001372102415,887,0.002310738433,887,0.0009335186915,887,0.0009499401203,887,0.001067216741,887,0.001804241096,887,0.0009609917761,
886,0.002557646716,886,0.002517444547,886,0.003725156887,886,0.001305162441,886,0.002369140275,886,0.003102017799,886,0.00150188338,886,0.002977700438,886,0.002681870013,886,0.00197976036,886,0.001641265,886,0.002585691633,
885,0.001941171708,885,0.002001760527,885,0.002253541257,885,0.001548901782,885,0.002441008342,885,0.002138909418,885,0.00371876033,885,0.0008943225839,885,0.002036869293,885,0.002548559336,885,0.002733392641,885,0.001111385296,
884,0.0004954292672,884,0.0008811196894,884,8.522497228E-5,884,-0.000179145718,884,6.640258653E-5,884,0.0008299459587,884,-0.001042986521,884,-0.0008686404326,884,0.000302712433,884,-0.0006684822147,884,0.0004011070414,884,0.0003413888626,
883,0.00385820237,883,0.003400691552,883,0.003882988123,883,0.003575004172,883,0.004132961389,883,0.002740243683,883,0.003388090525,883,0.002910851268,883,0.00246477616,883,0.002838175977,883,0.002347485861,883,0.003128272714,
882,0.002302332548,882,0.002248935634,882,0.001211962081,882,0.002234494546,882,0.001588832471,882,0.001532691531,882,0.001650567399,882,0.002155376365,882,0.0006383768632,882,0.0009418720147,882,0.001335593173,882,0.002099448349,
881,0.001194674172,881,0.0009183171787,881,0.000904854096,881,0.001098980196,881,0.0004966991255,881,0.001104975119,881,0.00155690324,881,0.001456428319,881,0.001483415021,881,0.0009021823062,881,0.00135963806,881,0.0008829613216,
880,0.002338038525,880,0.001431495068,880,0.00060501392,880,0.001240361365,880,0.001038257848,880,0.0001474197197,880,0.001211235183,880,0.0005379586946,880,0.001081281691,880,0.001576517709,880,0.0007558805519,880,0.001342396135,
879,0.00196566619,879,0.001981528476,879,0.002018040279,879,0.001887585036,879,0.001213934855,879,0.00158698787,879,0.002105951076,879,0.001387060154,879,0.001534587936,879,0.001664053532,879,0.0003475546255,879,0.002127853688,
878,0.003455091501,878,0.002832547994,878,0.003021385986,878,0.003763669403,878,0.003068543272,878,0.003394586733,878,0.00175345235,878,0.002635223558,878,0.002379863756,878,0.002179076429,878,0.001985767391,878,0.001693599857,
877,0.001320403419,877,0.002370051108,877,0.002175668487,877,0.0006935985875,877,0.001721536973,877,0.002666893648,877,0.001686323551,877,0.001933111227,877,0.00104534172,877,0.001165914466,877,0.0006610091659,877,0.0009655059548,
876,0.001441883738,876,0.002050289419,876,0.0008981357096,876,0.0006127905799,876,0.001256456831,876,0.002095728647,876,0.0008825203986,876,0.0007085329853,876,0.001242022845,876,0.0005918457173,876,0.0006655720645,876,0.001473363023,
875,0.002700128825,875,0.002804148477,875,0.002205899917,875,0.002114873379,875,0.002217660192,875,0.002273629652,875,0.002509451471,875,0.002319352468,875,0.001640355564,875,0.00165643997,875,0.00145455834,875,0.001191118034,
874,0.002398292068,874,0.001056862879,874,0.001746928785,874,0.001375166699,874,0.001785266097,874,0.001402615802,874,0.00111686124,874,0.0009244910907,874,0.001255444367,874,0.0008637153078,874,0.001134431572,874,0.001458012732,
873,0.002631629584,873,0.002202699892,873,0.001608396531,873,0.001962285722,873,0.002684604842,873,0.002283335896,873,0.002143982099,873,0.002604024485,873,0.002345768036,873,0.001975287683,873,0.002287889831,873,0.001299216761,
872,0.002187687904,872,0.002313835314,872,0.002810661914,872,0.003550601425,872,0.002443038858,872,0.002796488814,872,0.002265614923,872,0.001849160646,872,0.002676530508,872,0.001979318215,872,0.001945358003,872,0.002122833161,
871,0.002392097143,871,0.002051017713,871,0.001367350342,871,0.001183460816,871,0.000977518037,871,0.001498844242,871,0.00200586929,871,0.0009000811842,871,0.001179982559,871,0.001205602312,871,0.001371479244,871,0.0009448294295,
870,0.00135649601,870,0.002306964947,870,0.001688194578,870,0.001891614869,870,0.001586909872,870,0.001796599012,870,0.002315917052,870,0.002067195252,870,0.001717066858,870,0.001876457711,870,0.001891354914,870,0.00184853666,
869,0.001983843045,869,0.001901676529,869,0.001648332691,869,0.002232074738,869,0.00229507219,869,0.002608529758,869,0.001309031039,869,0.001890158863,869,0.001742380438,869,0.002272692742,869,0.001964027993,869,0.001229043002,
868,0.002364507411,868,0.002045477973,868,0.002215682762,868,0.002625900088,868,0.002097549383,868,0.002823428717,868,0.001743913861,868,0.00228101993,868,0.002418907825,868,0.002565927105,868,0.0021154196,868,0.00160821469,
867,0.001625311095,867,0.001772140036,867,0.001760235988,867,0.002779815113,867,0.001323934644,867,0.001024453784,867,0.00206391816,867,0.001441208413,867,0.001786253881,867,0.001635418623,867,0.001968136523,867,0.001204512082,
866,0.002615483012,866,0.001776220743,866,0.002037883736,866,0.001549525303,866,0.001531808288,866,0.002135735704,866,0.002176735085,866,0.001422223286,866,0.001700122724,866,0.001789606875,866,0.001851994195,866,0.001363273477,
865,0.00241437857,865,0.002316645812,865,0.001939403592,865,0.002143097576,865,0.001725747134,865,0.001976405736,865,0.002414274495,865,0.00104791054,865,0.00145746721,865,0.002373226685,865,0.001819317811,865,0.00178274489,
