sample49,,sample50,,sample51,,sample52,,sample53,,sample54,,sample55,,sample56,,sample57,,sample58,,sample59,,sample60,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.003302762751,900,0.004791056737,900,0.002742145211,900,0.004133275244,900,0.006103735883,900,0.008383635432,900,0.01025810372,900,0.01115703862,900,0.01311562397,900,0.01133199502,900,0.01342770085,900,0.01395839732,
899,0.007591481786,899,0.007650888059,899,0.007811312098,899,0.007940791547,899,0.009395359084,899,0.01035962813,899,0.01289727911,899,0.01278121583,899,0.01464344934,899,0.0152786104,899,0.01348353177,899,0.01573262922,
898,0.005853570532,898,0.005868946202,898,0.00639344845,898,0.006088116206,898,0.007306102663,898,0.008786885068,898,0.01257857401,898,0.01341141481,898,0.01303673908,898,0.0161790885,898,0.01348633505,898,0.01391830202,
897,0.006965378299,897,0.005567154381,897,0.005362477619,897,0.005710680038,897,0.008286635391,897,0.009706441313,897,0.01306024007,897,0.01346513443,897,0.01438039821,897,0.01498486754,897,0.01466805581,897,0.01398459449,
896,0.005374114029,896,0.004715030547,896,0.004500684794,896,0.004646683577,896,0.004724948667,896,0.008074317127,896,0.009791977704,896,0.01215706859,896,0.01247128099,896,0.01226372458,896,0.01285330858,896,0.01325979736,
895,0.004310391843,895,0.005655550864,895,0.004401409067,895,0.006789962761,895,0.007782743312,895,0.01057550684,895,0.0111120753,895,0.01273240615,895,0.01239669602,895,0.01302668266,895,0.01378681511,895,0.0132071441,
894,0.004482925404,894,0.004747977946,894,0.00555774197,894,0.005297015887,894,0.00673275115,894,0.0105533069,894,0.01236342918,894,0.01191893127,894,0.01308451593,894,0.01353771426,894,0.01503288653,894,0.01463515032,
893,0.005155015737,893,0.004465559032,893,0.003975378815,893,0.005144249648,893,0.006869324949,893,0.00981607195,893,0.01041535754,893,0.01103469543,893,0.01302281488,893,0.01294952072,893,0.01349968649,893,0.01243164297,
892,0.005811068695,892,0.006405033637,892,0.006048556883,892,0.006103683729,892,0.008094518445,892,0.01318982616,892,0.0113183381,892,0.01368408464,892,0.01454228349,892,0.0152075626,892,0.01411004458,892,0.01599112898,
891,0.007597882766,891,0.007409519982,891,0.005358887371,891,0.007550731767,891,0.009547220543,891,0.01059380919,891,0.01413758844,891,0.01353253331,891,0.01530360058,891,0.01532019954,891,0.01612293534,891,0.01491566282,
890,0.005686576478,890,0.006087144837,890,0.005502841901,890,0.005486194976,890,0.007431638893,890,0.01065659896,890,0.01140384749,890,0.01313600689,890,0.01408480201,890,0.01380263362,890,0.01439538226,890,0.0139011154,
889,0.007252007723,889,0.006732435897,889,0.00743287662,889,0.007875414565,889,0.009810458869,889,0.01265233848,889,0.01478374004,889,0.01508195605,889,0.01655801758,889,0.01695399545,889,0.01662441902,889,0.01754507981,
888,0.006278821733,888,0.00531724561,888,0.005947064143,888,0.004859557375,888,0.007270249072,888,0.01037084311,888,0.01272059791,888,0.01306320075,888,0.01539046131,888,0.01501308382,888,0.01600391418,888,0.01460106857,
887,0.006253820378,887,0.006309629418,887,0.006058637053,887,0.006417091936,887,0.008710077032,887,0.01163936313,887,0.01304898318,887,0.01403252967,887,0.01481531747,887,0.01521576568,887,0.01493961364,887,0.01600289345,
886,0.005507508293,886,0.005884531885,886,0.005314860959,886,0.006320450921,886,0.008121182211,886,0.01093200408,886,0.01196522824,886,0.01385108382,886,0.01425206102,886,0.0140250707,886,0.01437812299,886,0.01389010344,
885,0.007070635445,885,0.007335350849,885,0.005828514695,885,0.007677682675,885,0.009611711837,885,0.01072788797,885,0.01314814761,885,0.01450248249,885,0.0154410461,885,0.01622895896,885,0.01526785828,885,0.0145516526,
884,0.006428152323,884,0.006703438703,884,0.006358274724,884,0.006323103327,884,0.008549241349,884,0.01140134875,884,0.01392789744,884,0.01530402992,884,0.01497139037,884,0.01564478688,884,0.01546591148,884,0.01628447883,
883,0.006480042823,883,0.00453026779,883,0.00509097334,883,0.006449013017,883,0.007056033239,883,0.01090137102,883,0.01116907038,883,0.01307579223,883,0.01601266861,883,0.01367195696,883,0.01457376312,883,0.01453039888,
882,0.007458104286,882,0.007080896758,882,0.007594537456,882,0.007554814685,882,0.009458372369,882,0.01111353561,882,0.01397847291,882,0.01457328163,882,0.01627829671,882,0.01646546647,882,0.01588183641,882,0.01584338769,
881,0.00736165233,881,0.007325925864,881,0.006390401162,881,0.007726112381,881,0.008828068152,881,0.01217056531,881,0.01436835714,881,0.01491124183,881,0.0170018822,881,0.01528885309,881,0.01569462381,881,0.01605951227,
880,0.00695398869,880,0.005988188554,880,0.006255868822,880,0.006383177359,880,0.009345632046,880,0.01220464241,880,0.01377960015,880,0.01345221139,880,0.01467713248,880,0.01686286554,880,0.01646490209,880,0.01664198376,
879,0.0069201109,879,0.006977926008,879,0.006571384612,879,0.008018069901,879,0.009234983474,879,0.01207157131,879,0.0138201369,879,0.01555307303,879,0.01560909767,879,0.01516960282,879,0.01613389701,879,0.01676777191,
878,0.005973019172,878,0.005319473334,878,0.0059631248,878,0.006908380426,878,0.008420056663,878,0.01190977823,878,0.01425075065,878,0.0148357274,878,0.01519161183,878,0.01638309471,878,0.01633428037,878,0.01582722552,
877,0.006203296129,877,0.006180898752,877,0.005763874855,877,0.006673496682,877,0.008405567147,877,0.01226939633,877,0.01384269167,877,0.01524528302,877,0.01608701982,877,0.01623183303,877,0.01629651897,877,0.01597367227,
876,0.006608284079,876,0.005768622737,876,0.006192871835,876,0.007489311509,876,0.009436573833,876,0.01180924755,876,0.01435677148,876,0.01500035543,876,0.01592930965,876,0.0156692341,876,0.01565670222,876,0.01647554897,
875,0.005956800189,875,0.005913001951,875,0.005786067341,875,0.006550123915,875,0.008677382953,875,0.01138343848,875,0.01294210739,875,0.01411574055,875,0.01408969518,875,0.0145702567,875,0.01536948886,875,0.01518574078,
874,0.006116993725,874,0.005901902448,874,0.006136815064,874,0.007183339447,874,0.008724365383,874,0.01238641422,874,0.01423841901,874,0.01527131721,874,0.01628767699,874,0.01568689384,874,0.01675023139,874,0.01693542302,
873,0.006947044749,873,0.007238847204,873,0.007253718562,873,0.008099845611,873,0.00967385713,873,0.01270308532,873,0.01513411291,873,0.01532038674,873,0.01625408418,873,0.01640704647,873,0.01684946381,873,0.01651730575,
872,0.00569003867,872,0.006092657801,872,0.005320966709,872,0.00583879929,872,0.008478071541,872,0.01146771107,872,0.01341517922,872,0.01501201186,872,0.01581807062,872,0.01536495611,872,0.01595661975,872,0.01570780203,
871,0.006971823052,871,0.006325336173,871,0.007200604305,871,0.007062979043,871,0.008902149275,871,0.01250354387,871,0.01493318379,871,0.01530097332,871,0.01600074396,871,0.01661688834,871,0.01623285562,871,0.01623785309,
870,0.006964536849,870,0.006600031164,870,0.006757333409,870,0.007427952252,870,0.0101202745,870,0.0123321889,870,0.01493243407,870,0.01565125398,870,0.01655904017,870,0.01687680557,870,0.01641274616,870,0.01681773737,
869,0.007126417942,869,0.006571437232,869,0.006523451302,869,0.007125549484,869,0.009673644789,869,0.01255198196,869,0.01545215119,869,0.01581788436,869,0.01643960178,869,0.01668709144,869,0.01690535992,869,0.01622344926,
868,0.005671181716,868,0.005290727131,868,0.005237590056,868,0.006039396394,868,0.008409156464,868,0.01248627994,868,0.01434735395,868,0.01524265576,868,0.01650507189,868,0.01735892706,868,0.016749423,868,0.01654548757,
867,0.006438056938,867,0.005840898491,867,0.006397599354,867,0.006590333302,867,0.008505524136,867,0.01331432536,867,0.01425302401,867,0.01558537781,867,0.01572905853,867,0.01661944389,867,0.01693768427,867,0.01656500995,
866,0.007399724796,866,0.006905355956,866,0.007002732251,866,0.008161695674,866,0.01023226231,866,0.01308496948,866,0.01579903811,866,0.01668719947,866,0.01705970801,866,0.0180914402,866,0.01772362739,866,0.01792228967,
865,0.006765694357,865,0.006217082031,865,0.006593671162,865,0.007706086617,865,0.01019402035,865,0.01322270185,865,0.01513210312,865,0.01599854231,865,0.0172329396,865,0.01755243726,865,0.01785385609,865,0.01764443889,
864,0.00710260449,864,0.007447254378,864,0.007325030863,864,0.008336795494,864,0.01097243559,864,0.0137529606,864,0.01619598828,864,0.01725400239,864,0.01825695485,864,0.01776771434,864,0.01780989394,864,0.01760273613,
863,0.006360402331,863,0.006798902992,863,0.00677989237,863,0.007848395966,863,0.009753032587,863,0.01375004835,863,0.01562806964,863,0.01703378186,863,0.01702360623,863,0.01754028164,863,0.01756305806,863,0.01684922166,
862,0.006273569539,862,0.006428993307,862,0.006403825246,862,0.007611081004,862,0.01018575206,862,0.0146294469,862,0.01596840844,862,0.01722453535,862,0.01720433682,862,0.01747320034,862,0.01739481464,862,0.01733888313,
861,0.007329532411,861,0.007419367786,861,0.007056953851,861,0.008234792389,861,0.01083363686,861,0.01447504945,861,0.01650278643,861,0.01748236455,861,0.01860325411,861,0.01832280681,861,0.01857456006,861,0.01827669144,
860,0.007527052891,860,0.007119444665,860,0.007239083759,860,0.008258087561,860,0.01082251593,860,0.01428691763,860,0.01727027074,860,0.01734820381,860,0.01825773902,860,0.01825579442,860,0.01849602908,860,0.01895017922,
859,0.007495447993,859,0.007150680292,859,0.007222844288,859,0.008838582784,859,0.01106786076,859,0.01412862912,859,0.01656726934,859,0.01717021503,859,0.01851474866,859,0.01840373874,859,0.01833352633,859,0.01831781119,
858,0.007164022885,858,0.006790357176,858,0.007399514318,858,0.008548766375,858,0.01109353919,858,0.01502029225,858,0.01696064323,858,0.01761044562,858,0.01830498688,858,0.01847198978,858,0.01810183004,858,0.01807155088,
857,0.006550780963,857,0.006704989355,857,0.00644478295,857,0.007836298086,857,0.0105162831,857,0.01444488764,857,0.01734163053,857,0.01741281338,857,0.01831673272,857,0.01806364395,857,0.01819589175,857,0.01769668981,
