sample41,,sample42,,sample43,,sample44,,sample45,,sample46,,sample47,,sample48,,sample49,,sample50,,sample51,,sample52,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.02026091516,900,0.01740904152,900,0.01901197247,900,0.01849130169,900,0.01905302703,900,0.02014390007,900,0.0192469433,900,0.01875272207,900,0.0179854203,900,0.01907617971,900,0.01794009469,900,0.01764810644,
899,0.01993337646,899,0.02167489938,899,0.01962241344,899,0.0190250352,899,0.02098658122,899,0.0215902552,899,0.02138588205,899,0.02104219608,899,0.02177616209,899,0.02069164068,899,0.02116842382,899,0.02262417413,
898,0.01945150271,898,0.0192523282,898,0.01935148425,898,0.02131241374,898,0.02106379718,898,0.02176209167,898,0.01876812801,898,0.02017291263,898,0.02076888643,898,0.02060623839,898,0.02075737342,898,0.02132214792,
897,0.01613884047,897,0.01783041842,897,0.01668087766,897,0.01718061045,897,0.01738425158,897,0.01739729382,897,0.01934138872,897,0.01757192612,897,0.01812679321,897,0.01461418718,897,0.01583812572,897,0.01684233174,
896,0.01748786122,896,0.0178775657,896,0.01774061471,896,0.01943431236,896,0.01900680736,896,0.01891156845,896,0.01750529744,896,0.01953665167,896,0.02002225257,896,0.01837006211,896,0.01667350717,896,0.01809068397,
895,0.01725901105,895,0.01729612984,895,0.0183040686,895,0.01777235419,895,0.0190179497,895,0.01903201267,895,0.01914358884,895,0.01788946055,895,0.017168222,895,0.01936174184,895,0.01664884202,895,0.01768768393,
894,0.01967587695,894,0.01824261993,894,0.01954334043,894,0.01994814724,894,0.02017223462,894,0.02024925314,894,0.02075433172,894,0.01851226389,894,0.01835923456,894,0.01758801751,894,0.01815996505,894,0.01885249466,
893,0.01738522202,893,0.01615600847,893,0.01694739982,893,0.01802413911,893,0.01985562779,893,0.02040352114,893,0.01813424379,893,0.01941354945,893,0.02036922798,893,0.01800676249,893,0.01657461189,893,0.01761400327,
892,0.01791025884,892,0.01812120713,892,0.01897954755,892,0.0177617278,892,0.01935630105,892,0.019905461,892,0.01860884763,892,0.01904640161,892,0.02136706561,892,0.01823001355,892,0.01922830008,892,0.01708192006,
891,0.01862340979,891,0.01782432199,891,0.0189244654,891,0.01752397604,891,0.02089308016,891,0.01936249994,891,0.01879039966,891,0.01910926215,891,0.02079294622,891,0.01741620898,891,0.01819068193,891,0.01781259105,
890,0.01685255766,890,0.01770852692,890,0.01658996753,890,0.01743523218,890,0.01849349029,890,0.0200527478,890,0.01934268884,890,0.01856326871,890,0.01768078282,890,0.02012822777,890,0.01886668801,890,0.018260682,
889,0.01892968453,889,0.01966173761,889,0.01758977026,889,0.01851634309,889,0.01915992983,889,0.01946993917,889,0.01947454177,889,0.01916415058,889,0.01916855946,889,0.01898065582,889,0.01977938414,889,0.01757855527,
888,0.01898419857,888,0.01806817763,888,0.01957480423,888,0.01849381439,888,0.02013698593,888,0.01934336498,888,0.02025348507,888,0.02020225488,888,0.02009937912,888,0.01963603497,888,0.01891048625,888,0.01780261099,
887,0.01837262698,887,0.01569524035,887,0.0162556693,887,0.01738934405,887,0.01662412472,887,0.01868229173,887,0.0191382058,887,0.01750802062,887,0.01944497786,887,0.01797848567,887,0.01674232073,887,0.01814069413,
886,0.01938534528,886,0.01805052906,886,0.01853036322,886,0.01906665973,886,0.01987264492,886,0.01960099116,886,0.01975465007,886,0.0194186382,886,0.01975773834,886,0.01801860705,886,0.01917356439,886,0.02008547075,
885,0.01783009432,885,0.01678940468,885,0.01821036078,885,0.01922794804,885,0.01824170165,885,0.01918062568,885,0.01970001124,885,0.01808938757,885,0.01871647872,885,0.01778343692,885,0.01735278405,885,0.01892627776,
884,0.01763352193,884,0.01702581346,884,0.01755472831,884,0.01966786012,884,0.02034627832,884,0.0190205723,884,0.02074325457,884,0.02055236138,884,0.0193295069,884,0.01805079915,884,0.01896529645,884,0.01746204495,
883,0.0180765707,883,0.01811043918,883,0.01849430054,883,0.01870485768,883,0.01889702119,883,0.01975042373,883,0.02017982863,883,0.01877602004,883,0.01857658662,883,0.01974300109,883,0.01882248744,883,0.01816382445,
882,0.01892073452,882,0.01839644648,882,0.01836585067,882,0.01900713146,882,0.01952920482,882,0.02050760761,882,0.01962379366,882,0.01960391551,882,0.02077814564,882,0.01970296353,882,0.01742938533,882,0.01845788956,
881,0.01869053394,881,0.01742949151,881,0.01761200838,881,0.01982189342,881,0.019087594,881,0.01987603307,881,0.01897735707,881,0.02020624094,881,0.02029096894,881,0.01896864921,881,0.01959213614,881,0.01927170157,
880,0.0189765729,880,0.01713827625,880,0.01767981239,880,0.01882191934,880,0.02015252225,880,0.02013028786,880,0.02030670084,880,0.01817227341,880,0.01949741878,880,0.01847822778,880,0.01846194081,880,0.01854605787,
879,0.0185426008,879,0.01787759177,879,0.0182132218,879,0.01876688376,879,0.01955565996,879,0.02018460073,879,0.01925178617,879,0.01956643723,879,0.01892568171,879,0.01844762638,879,0.01896389015,879,0.01936285198,
878,0.01914797164,878,0.01862006076,878,0.01870199293,878,0.01970003732,878,0.02062819712,878,0.02114611119,878,0.01987633109,878,0.02047279291,878,0.02002081461,878,0.02019186877,878,0.02040647902,878,0.019330699,
877,0.01716407575,877,0.01674971916,877,0.01645887829,877,0.01816185378,877,0.01960112713,877,0.01976350881,877,0.01857067086,877,0.01795636304,877,0.01831627265,877,0.01832194254,877,0.01857185923,877,0.01851977408,
876,0.01857415587,876,0.01838753372,876,0.01815084182,876,0.01941352338,876,0.02028296702,876,0.02007489651,876,0.01968538389,876,0.01995538361,876,0.01999330148,876,0.01961423457,876,0.0192499198,876,0.0189190302,
875,0.01861484535,875,0.01820733771,875,0.01834522001,875,0.02047284693,875,0.01984698325,875,0.02008780278,875,0.02059497312,875,0.01963430271,875,0.02012733184,875,0.02032549866,875,0.01996137202,875,0.01927622221,
874,0.01927392185,874,0.01834689267,874,0.01975372806,874,0.0202535931,874,0.02132323571,874,0.02149219066,874,0.02063397877,874,0.020713415,874,0.0213237796,874,0.02020984702,874,0.02084285952,874,0.0207095053,
873,0.02045368962,873,0.01946084201,873,0.01948702149,873,0.02089867555,873,0.02180397883,873,0.02189759538,873,0.02191774175,873,0.02170954086,873,0.02165424824,873,0.02173610032,873,0.02155880816,873,0.02102996968,
872,0.01982866786,872,0.01808506995,872,0.01991519146,872,0.02136309631,872,0.02166284621,872,0.0214894712,872,0.02214933187,872,0.02206467651,872,0.0206221994,872,0.02172379941,872,0.02156694233,872,0.0216161292,
871,0.019389458,871,0.0176137872,871,0.01854786836,871,0.0195498392,871,0.02098076604,871,0.02069674432,871,0.02056571469,871,0.0206540674,871,0.02046866715,871,0.02063840441,871,0.02047607489,871,0.01951832138,
870,0.01898903958,870,0.01975879446,870,0.01941685192,870,0.02015333623,870,0.02120674774,870,0.02162910625,870,0.02120894939,870,0.0216530785,870,0.0206494797,870,0.02062637918,870,0.02050950751,870,0.02007324435,
869,0.0198290199,869,0.0197269097,869,0.02004881762,869,0.02184026316,869,0.02192672528,869,0.02285617031,869,0.02250594646,869,0.02180479653,869,0.02177812159,869,0.02184851095,869,0.02137013897,869,0.02151109464,
868,0.01992998831,868,0.01932888478,868,0.0197814703,868,0.02102681808,868,0.02201527543,868,0.02288997732,868,0.02240036987,868,0.02252096869,868,0.02153661102,868,0.02150391415,868,0.02139583603,868,0.02115312219,
867,0.02000354789,867,0.0196425356,867,0.01989402622,867,0.02117712051,867,0.02249675989,867,0.022120649,867,0.02202780172,867,0.02173833363,867,0.02320394479,867,0.02193263359,867,0.02130338922,867,0.02137405425,
866,0.02071295306,866,0.01936783269,866,0.01994473115,866,0.02107219398,866,0.02247863077,866,0.02198415063,866,0.02224100567,866,0.02235482819,866,0.02243820392,866,0.02225146815,866,0.0218365062,866,0.0216101706,
865,0.02081353031,865,0.0200300049,865,0.02048386447,865,0.02176271752,865,0.02266371809,865,0.022888612,865,0.02292700671,865,0.02273433283,865,0.02258692496,865,0.02334541641,865,0.02237118036,865,0.02182107233,
864,0.02020662092,864,0.01965821721,864,0.02057583816,864,0.02184698731,864,0.02265714481,864,0.02288239077,864,0.0226655174,864,0.02229381166,864,0.02276761271,864,0.02218926884,864,0.02251625247,864,0.02196176723,
863,0.02135474794,863,0.0209448263,863,0.0212118309,863,0.02267323621,863,0.0231691841,863,0.02369762771,863,0.02381024696,863,0.02324673533,863,0.02354828082,863,0.0242449455,863,0.02330955118,863,0.02319670841,
862,0.02085692808,862,0.02004881762,862,0.02108963951,862,0.02213876322,862,0.02355205268,862,0.0232179258,862,0.02326877415,862,0.02363360859,862,0.02302804217,862,0.0237657316,862,0.02359020524,862,0.02266118117,
861,0.02143940143,861,0.02109126933,861,0.02140875161,861,0.02265659906,861,0.02368899062,861,0.02421637066,861,0.02384172194,861,0.02455403283,861,0.0236468371,861,0.02398290858,861,0.02402022295,861,0.02331771888,
860,0.02165694162,860,0.02087556012,860,0.02134158835,860,0.02326069027,860,0.0238915775,860,0.02432364784,860,0.02442662604,860,0.02488521487,860,0.024389714,860,0.024805177,860,0.02420525812,860,0.02357397042,
859,0.02142403647,859,0.02120729163,859,0.02208692953,859,0.02347742394,859,0.02452423237,859,0.02484576963,859,0.0246657785,859,0.02509604208,859,0.02410071902,859,0.02450607345,859,0.02474540658,859,0.02404071577,
858,0.02225253172,858,0.02141285874,858,0.02176051401,858,0.02352447808,858,0.02422827668,858,0.02469808236,858,0.02487904765,858,0.02505301312,858,0.02521231584,858,0.02462679148,858,0.02443297952,858,0.02431398444,
857,0.02211416699,857,0.02142933942,857,0.02263260074,857,0.02384229563,857,0.02480863035,857,0.02547978982,857,0.02540175617,857,0.02515860461,857,0.02512327582,857,0.02526331693,857,0.02472548373,857,0.02437977493,
856,0.02250123024,856,0.02181141078,856,0.02304526605,856,0.02450823598,856,0.02553968877,856,0.02619355731,856,0.02575921081,856,0.02660221793,856,0.02518326417,856,0.02580752969,856,0.02564880438,856,0.02542129718,
855,0.02284610085,855,0.02173759788,855,0.02263862826,855,0.02430845425,855,0.02499150671,855,0.02579434402,855,0.02558183298,855,0.02575635538,855,0.02586478367,855,0.0256900806,855,0.02543567866,855,0.02504873462,
854,0.0225846339,854,0.02236155979,854,0.02290828712,854,0.02438369021,854,0.0252077058,854,0.02582675964,854,0.02587989345,854,0.02612573095,854,0.02610571869,854,0.02586162277,854,0.02602460422,854,0.02500625886,
853,0.02304870635,853,0.02212004922,853,0.02257544547,853,0.02407549135,853,0.02515396848,853,0.0256383419,853,0.02540008165,853,0.02574047819,853,0.02648994699,853,0.02554424666,853,0.02568302304,853,0.02520158887,
852,0.02268419974,852,0.02233893983,852,0.02309230156,852,0.02491290309,852,0.02585019358,852,0.02641624399,852,0.02673274279,852,0.02637643926,852,0.02632046677,852,0.02645280398,852,0.02645682171,852,0.02593355626,
851,0.02282157354,851,0.02246748097,851,0.02351005003,851,0.02510720305,851,0.02653972246,851,0.02689718083,851,0.02693559974,851,0.02719515376,851,0.0267580431,851,0.02705349773,851,0.02701839991,851,0.02643475682,
850,0.02400670946,850,0.02334036306,850,0.02416239865,850,0.02605412342,850,0.02724065632,850,0.02778986469,850,0.02780912817,850,0.02787026204,850,0.02825588919,850,0.02786912955,850,0.02759904973,850,0.0272660125,
849,0.02325328998,849,0.02313202433,849,0.02433799393,849,0.02610621229,849,0.02693430521,849,0.02762909047,849,0.02742127702,849,0.02784434333,849,0.02754799463,849,0.0279637035,849,0.0274939388,849,0.02717919834,
848,0.02391862869,848,0.02379526198,848,0.02427721955,848,0.02602619864,848,0.02753197029,848,0.02798197977,848,0.02778688446,848,0.02818155289,848,0.02847731486,848,0.02813042887,848,0.02791721374,848,0.02757243067,
847,0.02441208437,847,0.02394154854,847,0.02491287515,847,0.02685967274,847,0.02819660679,847,0.0285030473,847,0.02854890749,847,0.0290719308,847,0.02906337753,847,0.02874747105,847,0.02876951359,847,0.02823373303,
846,0.02480336837,846,0.02439409494,846,0.02540444583,846,0.02717503719,846,0.02853964642,846,0.02916372009,846,0.02919973992,846,0.02950896695,846,0.02942050993,846,0.0294008702,846,0.02938754857,846,0.02884478122,
845,0.02512275428,845,0.02518186532,845,0.02563540451,845,0.02768062428,845,0.02892885916,845,0.02950409055,845,0.02967182547,845,0.03001800179,845,0.03003661521,845,0.0298529882,845,0.02981322818,845,0.02949098498,
