sample13,,sample14,,sample15,,sample16,,sample17,,sample18,,sample19,,sample20,,sample21,,sample22,,sample23,,sample24,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.005957535002,900,0.007120655384,900,0.008482849225,900,0.007550362963,900,0.007097131107,900,0.006392476615,900,0.007615611888,900,0.007257719524,900,0.00692442432,900,0.007284569088,900,0.006142906379,900,0.005619623698,
899,0.007531504147,899,0.008008840494,899,0.007883901708,899,0.008387937211,899,0.008725157939,899,0.007843625732,899,0.006862829439,899,0.007539827377,899,0.007091816049,899,0.006445203442,899,0.007728088647,899,0.006049213465,
898,0.007185971364,898,0.00713349646,898,0.006720342208,898,0.007316790521,898,0.008752837777,898,0.007809045725,898,0.007521680091,898,0.00780432811,898,0.007282936946,898,0.007498555351,898,0.007174970582,898,0.005826625973,
897,0.008264920674,897,0.007143285591,897,0.006981345359,897,0.007796026301,897,0.007897952572,897,0.007594958879,897,0.008524742909,897,0.008153940551,897,0.006731752306,897,0.007531240582,897,0.007002206054,897,0.006074360572,
896,0.01138976309,896,0.009764072485,896,0.01011010073,896,0.01101223286,896,0.009255080484,896,0.01006058324,896,0.009724124335,896,0.009211529978,896,0.008959145285,896,0.009908197448,896,0.008709443733,896,0.007706692442,
895,0.00810699258,895,0.008275183849,895,0.007011992391,895,0.008729436435,895,0.007975697517,895,0.008342891,895,0.006646290887,895,0.00678938441,895,0.008356269449,895,0.007075082045,895,0.007091053296,895,0.007190050557,
894,0.008693043143,894,0.008229305036,894,0.007675864734,894,0.008927859366,894,0.00882809516,894,0.008150327019,894,0.009285332635,894,0.007317554206,894,0.008115774952,894,0.008028854616,894,0.006713138893,894,0.006874900311,
893,0.008579761721,893,0.007283516228,893,0.006468875799,893,0.009546083398,893,0.007241505664,893,0.008146212436,893,0.009560531005,893,0.009105382487,893,0.007412626874,893,0.007035906427,893,0.006592146587,893,0.007474352606,
892,0.006612515543,892,0.007191682234,892,0.007298415527,892,0.007975750603,892,0.006863197312,892,0.006357223727,892,0.006764379796,892,0.006710194517,892,0.00665467605,892,0.007992519997,892,0.006180688273,892,0.00568180345,
891,0.009218140505,891,0.008028933778,891,0.01001387835,891,0.009494248778,891,0.008966783062,891,0.008685595356,891,0.00826695282,891,0.008071389981,891,0.009690585546,891,0.008003040217,891,0.008310778067,891,0.008997200057,
890,0.008710685186,890,0.007206552196,890,0.008825426921,890,0.008135504089,890,0.008339645341,890,0.007770251948,890,0.008107942529,890,0.007922680117,890,0.008626443334,890,0.007968737744,890,0.00702735642,890,0.008532768115,
889,0.008387594484,889,0.007593299262,889,0.007392589003,889,0.007983897813,889,0.007329953834,889,0.009082280099,889,0.008896072395,889,0.007833767682,889,0.007915508933,889,0.00748833688,889,0.008069623262,889,0.006900542881,
888,0.008698984981,888,0.008211709559,888,0.008820750751,888,0.008915017359,888,0.008474983275,888,0.008701282553,888,0.008677355945,888,0.007057743147,888,0.00856397301,888,0.008614852093,888,0.007932249457,888,0.008010475896,
887,0.008005650714,887,0.007468506228,887,0.007493577898,887,0.008006652817,887,0.008475088514,887,0.008483377285,887,0.008203294128,887,0.009188843891,887,0.00620565936,887,0.006955882534,887,0.007611133624,887,0.00649092067,
886,0.008550218306,886,0.008071891032,886,0.007833767682,886,0.008507609367,886,0.008471604437,886,0.007248849142,886,0.009580722079,886,0.007994259708,886,0.008249090984,886,0.007834585384,886,0.007270565256,886,0.007432192098,
885,0.008593544364,885,0.008552013896,885,0.007247243542,885,0.007939578034,885,0.007820088416,885,0.008125322871,885,0.009433716536,885,0.007716942579,885,0.008073130623,885,0.007517491933,885,0.008031043224,885,0.007121865638,
884,0.009221471846,884,0.008578758687,884,0.009321563877,884,0.008925824426,884,0.008139644749,884,0.008854830638,884,0.009707076475,884,0.008907935582,884,0.00773970969,884,0.007101235911,884,0.008063135669,884,0.007979995571,
883,0.008610917255,883,0.007635396905,883,0.008245239966,883,0.009277690202,883,0.007985137403,883,0.008063109592,883,0.007240163162,883,0.007543277927,883,0.008565478027,883,0.008261359297,883,0.007041905075,883,0.006923161913,
882,0.00866378285,882,0.008324181661,882,0.009089416824,882,0.008304181509,882,0.009051856585,882,0.008032598533,882,0.008271701634,882,0.008109498769,882,0.007962673903,882,0.008247297257,882,0.008044281043,882,0.006828564219,
881,0.008170425892,881,0.007422317285,881,0.007523391861,881,0.00816546753,881,0.007924946956,881,0.008491559885,881,0.008751331829,881,0.007796711288,881,0.00837780349,881,0.007428531535,881,0.007703583222,881,0.007480172906,
880,0.008263839409,880,0.007135812193,880,0.007862471975,880,0.007671965286,880,0.008236691356,880,0.00818686001,880,0.008085419424,880,0.008444258943,880,0.008683192544,880,0.007438458968,880,0.0065316502,880,0.007246453781,
879,0.008540555835,879,0.006636092439,879,0.006635514088,879,0.007539642975,879,0.007812866941,879,0.008639330044,879,0.008775051683,879,0.008159321733,879,0.007491602562,879,0.008064454421,879,0.007683057804,879,0.007457024418,
878,0.008850814775,878,0.008445103653,878,0.009247094393,878,0.008243761957,878,0.008205588907,878,0.008471921086,878,0.008324287832,878,0.007834611461,878,0.007199893706,878,0.008439745754,878,0.008480790071,878,0.007688696031,
877,0.008390576579,877,0.00877307076,877,0.008533903398,877,0.00923535414,877,0.009967444465,877,0.008765357547,877,0.008108733222,877,0.008127301,877,0.007777683437,877,0.007383215707,877,0.008290540427,877,0.007288201712,
876,0.008202528581,876,0.007376343478,876,0.007129733451,876,0.007824121043,876,0.007673888467,876,0.007791756652,876,0.007751594298,876,0.007379898336,876,0.007745849434,876,0.006795826368,876,0.007259404287,876,0.007100814953,
875,0.007616533898,875,0.00753943203,875,0.007935571484,875,0.008860220201,875,0.007803221233,875,0.007807279937,875,0.007683189586,875,0.007713569794,875,0.007295283023,875,0.007903540507,875,0.006882816553,875,0.006752259098,
