sample25,,sample26,,sample27,,sample28,,sample29,,sample30,,sample31,,sample32,,sample33,,sample34,,sample35,,sample36,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.003386316588,900,0.001527989632,900,0.002308110008,900,0.005618312862,900,0.01313731447,900,0.02277836017,900,0.02571446821,900,0.02931193821,900,0.02993185446,900,0.03012996912,900,0.03163408116,900,0.0299127195,
899,0.003018336371,899,0.001450896147,899,0.00361483451,899,0.005782421213,899,0.01590039022,899,0.02289273217,899,0.02810471691,899,0.02932113223,899,0.03046062775,899,0.02936743945,899,0.02968748473,899,0.02939610742,
898,0.003032229841,898,0.001395188505,898,0.003110725898,898,0.005943127442,898,0.01612242498,898,0.02397680841,898,0.02822409198,898,0.02883883193,898,0.03116628155,898,0.03067337349,898,0.03036339954,898,0.02928790078,
897,0.003589542117,897,0.002001760527,897,0.003920574207,897,0.006799770519,897,0.01603866927,897,0.02250136621,897,0.02796911448,897,0.02997786552,897,0.030929612,897,0.02980932035,897,0.03158544376,897,0.03109531105,
896,0.004599773325,896,0.006114394404,896,0.005160700064,896,0.009687858634,896,0.01788406633,896,0.02448405325,896,0.02966725081,896,0.0322823897,896,0.03156729043,896,0.03363922238,896,0.03159412742,896,0.03125567734,
895,0.002530385042,895,0.001157271327,895,0.00219728821,895,0.006290456746,895,0.01528775413,895,0.02216899954,895,0.02663642913,895,0.02873355895,895,0.03050175309,895,0.02954592742,895,0.0300003048,895,0.03061670437,
894,0.003941523377,894,0.003369385377,894,0.003667146666,894,0.006824777462,894,0.01685810089,894,0.02519138344,894,0.02922861651,894,0.03005239926,894,0.03043469414,894,0.03109311499,894,0.03093834035,894,0.0303352233,
893,0.003106449964,893,0.002926826477,893,0.002108422341,893,0.006719606463,893,0.01592571102,893,0.0243980661,893,0.02869816124,893,0.02931958251,893,0.031497702,893,0.02980333194,893,0.03079931997,893,0.02962603979,
892,0.003149548778,892,0.001571815345,892,0.002175252186,892,0.007246348541,892,0.01630640961,892,0.0234805122,892,0.02693102881,892,0.02854368277,892,0.02979576215,892,0.03025811724,892,0.02978464589,892,0.02911799029,
891,0.004304195754,891,0.002725708066,891,0.002957032295,891,0.006821095943,891,0.01852798648,891,0.0248073712,891,0.03079970926,891,0.03109431081,891,0.03180027008,891,0.03076997586,891,0.03222522885,891,0.03119737655,
890,0.004383078776,890,0.002994720591,890,0.00355073181,890,0.007469322532,890,0.01808466576,890,0.02506990544,890,0.02917626128,890,0.0311959032,890,0.03194869682,890,0.03150368854,890,0.03156094626,890,0.03132041544,
889,0.003332420951,889,0.003179326886,889,0.003039737465,889,0.007087922189,889,0.01703157462,889,0.02456197701,889,0.02990085073,889,0.03016523458,889,0.03094918095,889,0.03116461262,889,0.03065665066,889,0.03041109443,
888,0.004341504537,888,0.002295332262,888,0.004050910007,888,0.006845025811,888,0.01744975708,888,0.02564710192,888,0.03120672144,888,0.03195761144,888,0.03221803904,888,0.03234384581,888,0.0320555605,888,0.03106697649,
887,0.003463676199,887,0.003148427699,887,0.002311415039,887,0.007197814528,887,0.01736854576,887,0.02394220605,887,0.02956399322,887,0.03201479092,887,0.03095071018,887,0.0308183562,887,0.0311328806,887,0.02958023176,
886,0.005046974402,886,0.003447994357,886,0.002737768926,886,0.008276820183,886,0.01795612089,886,0.0265983101,886,0.03106322326,886,0.03109514527,886,0.031701684,886,0.03250369802,886,0.03120232746,886,0.03040737472,
885,0.004080174956,885,0.002987865591,885,0.002838566666,885,0.007367813028,885,0.01826070808,885,0.02459306829,885,0.0296843797,885,0.03085526079,885,0.0321594663,885,0.03125425801,885,0.03196914494,885,0.03051458113,
884,0.003029388608,884,0.003284296021,884,0.003305188613,884,0.007466425654,884,0.01795558073,884,0.0265135821,884,0.03134553879,884,0.03247290105,884,0.03205093369,884,0.03271396086,884,0.03166902438,884,0.03102426976,
883,0.002954347758,883,0.00290126144,883,0.002761031967,883,0.007793627679,883,0.01843039505,883,0.02514338121,883,0.0301989764,883,0.03226919845,883,0.03171240538,883,0.03094790131,883,0.03185378015,883,0.03108897246,
882,0.003731214209,882,0.003108327277,882,0.003049799707,882,0.007296757307,882,0.01821594872,882,0.02740776725,882,0.03145798668,882,0.03165610135,882,0.03278538957,882,0.03249625117,882,0.03162166104,882,0.0310912244,
881,0.003549557412,881,0.002689840272,881,0.003320578253,881,0.008281067945,881,0.01931657083,881,0.0262121167,881,0.03048125841,881,0.03146369383,881,0.03211718053,881,0.03232610971,881,0.03081401996,881,0.03104881942,
880,0.002765200101,880,0.002711954527,880,0.002574051498,880,0.008023818024,880,0.01910866611,880,0.02618420869,880,0.03099424392,880,0.0319541283,880,0.03183205426,880,0.0320655629,880,0.03092619218,880,0.03057295829,
879,0.003132548649,879,0.002744802274,879,0.003999518231,879,0.008624700829,879,0.01914285868,879,0.02723605372,879,0.03109753691,879,0.03140271828,879,0.03238933533,879,0.03127965704,879,0.03139631823,879,0.03117148206,
878,0.005118134432,878,0.002914317418,878,0.003672446124,878,0.00898882281,878,0.01932948083,878,0.02794103697,878,0.03106141649,878,0.03260495141,878,0.03324756026,878,0.03261293471,878,0.03227257356,878,0.0320318155,
877,0.004758969881,877,0.003634542227,877,0.003182534128,877,0.008022209629,877,0.01964963228,877,0.02779127285,877,0.03191283718,877,0.032030534,877,0.03281439468,877,0.03252124786,877,0.03171385452,877,0.0317931138,
876,0.001966108335,876,0.001521781087,876,0.001969462726,876,0.007034854032,876,0.01859104075,876,0.0274527669,876,0.030503029,876,0.03216392547,876,0.03236766532,876,0.03147248924,876,0.03100450151,876,0.03039013408,
875,0.002352274721,875,0.003076181747,875,0.00313635543,875,0.008366377093,875,0.01880686171,875,0.02739166468,875,0.03151855245,875,0.0326256305,875,0.0318771787,875,0.03226680309,875,0.03074624762,875,0.03106886707,
874,0.001823346945,874,0.002231372287,874,0.002581342822,874,0.008075398393,874,0.0193392504,874,0.02692169137,874,0.03102571517,874,0.03228057548,874,0.03138532862,874,0.03223671764,874,0.03053241037,874,0.03102568723,
873,0.003388612298,873,0.003106893273,873,0.003162273206,873,0.0083800992,873,0.02041062899,873,0.02831227705,873,0.03188316897,873,0.03272199631,873,0.0327029638,873,0.03283290565,873,0.03231702,873,0.03168976679,
872,0.003563154954,872,0.002915750723,872,0.00322950026,872,0.008401027881,872,0.02026728913,872,0.02831092477,872,0.03156695887,872,0.03271086141,872,0.03282221407,872,0.03235068172,872,0.03183308244,872,0.03146263584,
871,0.00300715398,871,0.001485441113,871,0.002836091444,871,0.007559871767,871,0.02034047246,871,0.0284586288,871,0.03107701428,871,0.03185155243,871,0.03163588792,871,0.031783171,871,0.03112439997,871,0.03005839139,
